account_id,borrower_id,dpd,risk_segment,loan_type,outstanding_amount,first_target_month,recovered_amount,analytical_grain
ACC0000001,BRW0010742,15,MEDIUM,CONSUMER,678074.03,2026-02,114222.84,account across observation period; monthly scorecard is account-month
ACC0000065,BRW0001389,75,MEDIUM,AUTO,586399.27,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000066,BRW0002073,0,HIGH,CONSUMER,192035.08,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000067,BRW0010480,1,MEDIUM,CONSUMER,659407.78,2026-02,125857.57,account across observation period; monthly scorecard is account-month
ACC0000068,BRW0011116,0,LOW,CONSUMER,646783.15,2026-01,144861.95,account across observation period; monthly scorecard is account-month
ACC0000069,BRW0001302,120,NPA,PERSONAL,37141.89,2026-02,2701.59,account across observation period; monthly scorecard is account-month
ACC0000070,BRW0001504,5,LOW,BNPL,516746.28,2026-01,107300.48999999999,account across observation period; monthly scorecard is account-month
ACC0000071,BRW0007455,60,HIGH,CONSUMER,75313.13,,82726.09,account across observation period; monthly scorecard is account-month
ACC0000072,BRW0008777,30,HIGH,CONSUMER,561396.89,,0.0,account across observation period; monthly scorecard is account-month
ACC0000073,BRW0008257,180,NPA,CREDIT_CARD,187828.0,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000074,BRW0009482,0,MEDIUM,AUTO,61324.97,,112086.4,account across observation period; monthly scorecard is account-month
ACC0000075,BRW0004666,60,LOW,PERSONAL,484217.05,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000076,BRW0011961,30,MEDIUM,PERSONAL,299260.83,2026-08,0.0,account across observation period; monthly scorecard is account-month
ACC0000077,BRW0001854,30,MEDIUM,BNPL,394798.52,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000078,BRW0002632,45,NPA,CREDIT_CARD,388156.65,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000079,BRW0000891,60,NPA,CONSUMER,696932.24,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000080,BRW0000553,0,NPA,BNPL,468149.27,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000081,BRW0004659,5,MEDIUM,PERSONAL,156190.22,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000082,BRW0001983,5,NPA,CONSUMER,175812.11,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000083,BRW0001404,30,MEDIUM,BNPL,95368.32,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000084,BRW0001684,120,HIGH,BNPL,662717.34,2026-02,39941.74,account across observation period; monthly scorecard is account-month
ACC0000085,BRW0010901,5,NPA,PERSONAL,132875.13,,0.0,account across observation period; monthly scorecard is account-month
ACC0000086,BRW0006116,15,LOW,CREDIT_CARD,124807.97,2026-05,18292.25,account across observation period; monthly scorecard is account-month
ACC0000087,BRW0003223,90,MEDIUM,CONSUMER,419043.04,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000088,BRW0008804,15,MEDIUM,CONSUMER,620729.25,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000089,BRW0004758,60,MEDIUM,CONSUMER,352923.59,,0.0,account across observation period; monthly scorecard is account-month
ACC0000090,BRW0010872,30,LOW,AUTO,122162.41,2026-02,51352.77,account across observation period; monthly scorecard is account-month
ACC0000091,BRW0009073,180,NPA,PERSONAL,175038.94,,0.0,account across observation period; monthly scorecard is account-month
ACC0000092,BRW0011413,120,MEDIUM,CREDIT_CARD,400731.17,,0.0,account across observation period; monthly scorecard is account-month
ACC0000093,BRW0006243,15,HIGH,PERSONAL,540876.53,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000094,BRW0004414,60,HIGH,CREDIT_CARD,639876.61,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000095,BRW0008338,75,HIGH,BNPL,357400.09,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000096,BRW0001576,15,MEDIUM,PERSONAL,567991.39,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000097,BRW0007710,1,NPA,CONSUMER,687977.06,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000098,BRW0008480,75,HIGH,AUTO,653277.61,,0.0,account across observation period; monthly scorecard is account-month
ACC0000099,BRW0006683,45,LOW,CREDIT_CARD,237164.9,2026-06,73020.06,account across observation period; monthly scorecard is account-month
ACC0000100,BRW0000847,1,LOW,CREDIT_CARD,123723.83,,0.0,account across observation period; monthly scorecard is account-month
ACC0000101,BRW0009941,15,LOW,BNPL,388304.18,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000102,BRW0007850,5,MEDIUM,AUTO,5147.4,,194037.91,account across observation period; monthly scorecard is account-month
ACC0000103,BRW0004562,180,HIGH,AUTO,355473.4,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000104,BRW0006523,0,HIGH,CONSUMER,178643.43,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000105,BRW0000846,90,NPA,AUTO,545375.05,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000106,BRW0002319,90,NPA,BNPL,504662.53,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000107,BRW0000800,0,LOW,AUTO,20538.52,2026-03,92102.15,account across observation period; monthly scorecard is account-month
ACC0000108,BRW0008648,1,NPA,BNPL,359193.16,,0.0,account across observation period; monthly scorecard is account-month
ACC0000109,BRW0001180,0,HIGH,PERSONAL,357553.08,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000110,BRW0008335,90,HIGH,CREDIT_CARD,121513.53,,0.0,account across observation period; monthly scorecard is account-month
ACC0000111,,5,MEDIUM,AUTO,512264.37,2026-05,203051.84,account across observation period; monthly scorecard is account-month
ACC0000112,BRW0000325,90,NPA,AUTO,298252.93,2026-02,89158.45,account across observation period; monthly scorecard is account-month
ACC0000113,BRW0004594,30,HIGH,BNPL,322797.99,,17339.29,account across observation period; monthly scorecard is account-month
ACC0000114,BRW0010023,75,MEDIUM,CREDIT_CARD,57859.1,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000115,BRW0002791,60,HIGH,BNPL,447187.05,2026-02,86309.24,account across observation period; monthly scorecard is account-month
ACC0000116,BRW0010064,75,HIGH,BNPL,394440.34,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000117,,0,NPA,AUTO,677879.66,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000118,BRW0002884,30,HIGH,PERSONAL,431931.92,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000119,BRW0001383,120,NPA,CONSUMER,553590.62,,101828.2,account across observation period; monthly scorecard is account-month
ACC0000120,BRW0004055,45,NPA,BNPL,38663.97,2026-01,149993.55,account across observation period; monthly scorecard is account-month
ACC0000121,BRW0003842,0,MEDIUM,CREDIT_CARD,436831.36,,31643.02,account across observation period; monthly scorecard is account-month
ACC0000122,BRW0011680,5,HIGH,CONSUMER,195292.63,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000123,BRW0006398,1,MEDIUM,CREDIT_CARD,404964.78,,0.0,account across observation period; monthly scorecard is account-month
ACC0000124,BRW0009705,45,HIGH,CREDIT_CARD,630551.89,,249766.74,account across observation period; monthly scorecard is account-month
ACC0000125,BRW0009579,30,HIGH,AUTO,97193.92,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000126,BRW0003421,180,HIGH,AUTO,403375.06,2026-07,138805.01,account across observation period; monthly scorecard is account-month
ACC0000127,BRW0003733,15,NPA,AUTO,292417.3,2026-01,44254.11,account across observation period; monthly scorecard is account-month
ACC0000128,BRW0007007,120,MEDIUM,BNPL,96417.33,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000129,BRW0004875,60,MEDIUM,CREDIT_CARD,189568.17,2026-05,113253.76,account across observation period; monthly scorecard is account-month
ACC0000130,,30,MEDIUM,CREDIT_CARD,290814.12,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000131,BRW0011408,45,LOW,AUTO,51256.86,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000132,BRW0000115,120,NPA,BNPL,402131.29,2026-01,135683.49,account across observation period; monthly scorecard is account-month
ACC0000133,BRW0011191,30,LOW,AUTO,456590.0,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000134,BRW0004663,45,MEDIUM,BNPL,109040.47,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000135,BRW0004352,75,HIGH,PERSONAL,552102.62,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000136,BRW0011633,45,MEDIUM,CONSUMER,307912.15,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000137,BRW0009454,60,MEDIUM,PERSONAL,679487.48,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000138,BRW0005081,15,NPA,CREDIT_CARD,183146.23,,0.0,account across observation period; monthly scorecard is account-month
ACC0000139,BRW0011088,15,MEDIUM,CREDIT_CARD,151194.34,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000140,BRW0003489,180,MEDIUM,CREDIT_CARD,693625.33,2026-01,123754.55,account across observation period; monthly scorecard is account-month
ACC0000141,BRW0009040,60,LOW,BNPL,493675.37,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000142,BRW0000989,90,NPA,CREDIT_CARD,398591.12,,0.0,account across observation period; monthly scorecard is account-month
ACC0000143,BRW0004347,180,LOW,PERSONAL,165704.16,2026-03,51254.98,account across observation period; monthly scorecard is account-month
ACC0000144,BRW0006207,30,MEDIUM,PERSONAL,259713.4,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000145,BRW0009514,0,HIGH,BNPL,259430.17,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000146,BRW0004521,1,NPA,BNPL,126898.89,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000147,BRW0008846,45,LOW,BNPL,307154.06,,148218.16,account across observation period; monthly scorecard is account-month
ACC0000148,BRW0009859,180,MEDIUM,BNPL,49292.28,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000149,BRW0003268,90,MEDIUM,BNPL,101445.68,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000150,BRW0005929,60,NPA,CONSUMER,608494.59,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000151,BRW0006424,120,HIGH,CREDIT_CARD,321080.25,,23606.23,account across observation period; monthly scorecard is account-month
ACC0000152,BRW0011494,15,LOW,PERSONAL,309747.09,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000153,BRW0000957,75,MEDIUM,CREDIT_CARD,570032.8,2026-06,114256.75,account across observation period; monthly scorecard is account-month
ACC0000154,BRW0006088,120,NPA,PERSONAL,418448.72,,123943.53,account across observation period; monthly scorecard is account-month
ACC0000155,BRW0002403,180,LOW,CREDIT_CARD,308465.65,,123047.96,account across observation period; monthly scorecard is account-month
ACC0000156,BRW0010817,0,NPA,CREDIT_CARD,319516.86,,0.0,account across observation period; monthly scorecard is account-month
ACC0000157,BRW0010036,45,LOW,PERSONAL,386751.58,,0.0,account across observation period; monthly scorecard is account-month
ACC0000158,BRW0002535,15,HIGH,BNPL,120713.33,2026-03,126320.79000000001,account across observation period; monthly scorecard is account-month
ACC0000159,BRW0000981,1,MEDIUM,CREDIT_CARD,405052.27,2026-04,112470.29,account across observation period; monthly scorecard is account-month
ACC0000160,BRW0006098,60,LOW,PERSONAL,92726.83,,19658.68,account across observation period; monthly scorecard is account-month
ACC0000161,BRW0000079,90,NPA,BNPL,572297.22,2026-01,228861.88,account across observation period; monthly scorecard is account-month
ACC0000162,BRW0001791,1,HIGH,CREDIT_CARD,221882.86,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000163,BRW0011529,45,MEDIUM,CREDIT_CARD,363387.88,2026-02,163273.22,account across observation period; monthly scorecard is account-month
ACC0000164,BRW0001287,75,MEDIUM,PERSONAL,646106.64,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000165,BRW0004278,60,LOW,BNPL,299052.95,,34067.78,account across observation period; monthly scorecard is account-month
ACC0000166,BRW0000424,180,MEDIUM,PERSONAL,339556.17,2026-01,73965.67,account across observation period; monthly scorecard is account-month
ACC0000167,BRW0007157,5,LOW,CONSUMER,696386.93,2026-01,29814.17,account across observation period; monthly scorecard is account-month
ACC0000168,BRW0004150,60,HIGH,PERSONAL,291566.66,,213801.19,account across observation period; monthly scorecard is account-month
ACC0000169,BRW0011889,90,LOW,BNPL,233686.78,2026-03,140621.84,account across observation period; monthly scorecard is account-month
ACC0000170,BRW0010374,15,HIGH,CONSUMER,453695.49,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000171,BRW0010694,30,NPA,PERSONAL,238741.49,,144676.44,account across observation period; monthly scorecard is account-month
ACC0000172,BRW0004685,15,NPA,BNPL,320032.12,2026-07,4550.57,account across observation period; monthly scorecard is account-month
ACC0000173,BRW0011352,180,NPA,CONSUMER,204270.1,,216863.08000000002,account across observation period; monthly scorecard is account-month
ACC0000174,BRW0003750,30,HIGH,PERSONAL,26526.62,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000175,BRW0003783,45,HIGH,AUTO,199517.46,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000176,BRW0005865,30,HIGH,CONSUMER,634833.58,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000177,BRW0007187,0,LOW,AUTO,642591.42,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000178,BRW0011640,0,HIGH,CONSUMER,96522.09,,0.0,account across observation period; monthly scorecard is account-month
ACC0000179,BRW0009237,0,MEDIUM,AUTO,151751.74,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000180,BRW0000800,1,MEDIUM,CONSUMER,88649.96,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000181,,30,LOW,CONSUMER,565223.07,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000182,BRW0009712,180,LOW,AUTO,525883.45,2026-03,49019.47,account across observation period; monthly scorecard is account-month
ACC0000183,BRW0009574,60,LOW,PERSONAL,363925.34,2026-04,102894.76,account across observation period; monthly scorecard is account-month
ACC0000184,BRW0004076,75,NPA,BNPL,3175.93,2026-02,13961.55,account across observation period; monthly scorecard is account-month
ACC0000185,BRW0006228,180,MEDIUM,CONSUMER,49640.55,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000186,BRW0009993,60,HIGH,PERSONAL,253254.4,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000187,BRW0011152,30,HIGH,CONSUMER,237996.88,2026-02,31690.94,account across observation period; monthly scorecard is account-month
ACC0000188,BRW0009821,60,NPA,CREDIT_CARD,359280.32,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000189,BRW0001954,120,HIGH,PERSONAL,555927.61,,0.0,account across observation period; monthly scorecard is account-month
ACC0000190,BRW0008316,30,NPA,CONSUMER,193026.9,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000191,BRW0006954,15,HIGH,CREDIT_CARD,656099.9,,2353.1,account across observation period; monthly scorecard is account-month
ACC0000192,BRW0005304,1,MEDIUM,BNPL,403381.38,2026-03,155613.21000000002,account across observation period; monthly scorecard is account-month
ACC0000193,BRW0008754,0,NPA,CREDIT_CARD,691493.81,,0.0,account across observation period; monthly scorecard is account-month
ACC0000194,BRW0007554,60,MEDIUM,CREDIT_CARD,208702.28,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000195,BRW0001994,1,LOW,PERSONAL,331299.88,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000196,BRW0005595,90,LOW,PERSONAL,142305.98,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000197,BRW0006237,75,LOW,PERSONAL,36693.65,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000198,BRW0003252,45,NPA,CREDIT_CARD,18142.57,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000199,BRW0003062,120,LOW,CREDIT_CARD,198701.72,2026-01,149789.66,account across observation period; monthly scorecard is account-month
ACC0000200,BRW0005226,120,MEDIUM,AUTO,415025.16,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000201,BRW0011603,5,HIGH,CONSUMER,117989.05,,121964.16,account across observation period; monthly scorecard is account-month
ACC0000202,BRW0000010,15,MEDIUM,BNPL,627162.37,2026-07,141038.43,account across observation period; monthly scorecard is account-month
ACC0000203,BRW0011556,120,HIGH,PERSONAL,413506.49,2026-04,0.0,account across observation period; monthly scorecard is account-month
ACC0000204,BRW0004154,75,LOW,PERSONAL,385174.44,2026-03,89324.93,account across observation period; monthly scorecard is account-month
ACC0000205,BRW0002170,5,NPA,CREDIT_CARD,362525.97,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000206,BRW0005045,0,MEDIUM,AUTO,564787.23,2026-06,128760.36,account across observation period; monthly scorecard is account-month
ACC0000207,BRW0008030,75,LOW,CREDIT_CARD,295938.99,2026-06,90867.1,account across observation period; monthly scorecard is account-month
ACC0000208,BRW0000996,5,LOW,PERSONAL,566700.86,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000209,BRW0000257,1,LOW,CONSUMER,581795.38,2026-04,21969.17,account across observation period; monthly scorecard is account-month
ACC0000210,BRW0007572,15,NPA,AUTO,436602.0,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000211,BRW0009711,15,HIGH,CONSUMER,599204.43,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000212,BRW0010136,5,LOW,BNPL,431693.88,2026-05,82571.34,account across observation period; monthly scorecard is account-month
ACC0000213,BRW0002423,15,HIGH,AUTO,228095.34,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000214,BRW0009452,30,MEDIUM,PERSONAL,112713.33,,0.0,account across observation period; monthly scorecard is account-month
ACC0000215,BRW0011603,60,LOW,BNPL,215772.71,2026-07,161343.44,account across observation period; monthly scorecard is account-month
ACC0000216,BRW0009752,15,HIGH,BNPL,355149.25,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000217,BRW0002446,5,LOW,PERSONAL,273488.65,2026-05,0.0,account across observation period; monthly scorecard is account-month
ACC0000218,BRW0006101,180,HIGH,BNPL,643135.8,2026-06,0.0,account across observation period; monthly scorecard is account-month
ACC0000219,BRW0002474,120,MEDIUM,CONSUMER,487463.19,2026-05,161064.93,account across observation period; monthly scorecard is account-month
ACC0000220,BRW0004003,60,MEDIUM,AUTO,493742.35,,0.0,account across observation period; monthly scorecard is account-month
ACC0000221,BRW0007957,15,HIGH,AUTO,497026.32,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000222,BRW0008698,45,HIGH,CONSUMER,75472.76,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000223,BRW0001515,90,LOW,PERSONAL,456370.96,2026-01,0.0,account across observation period; monthly scorecard is account-month
ACC0000224,BRW0007613,30,NPA,PERSONAL,696044.1,2026-05,6088.02,account across observation period; monthly scorecard is account-month
ACC0000225,BRW0006935,180,NPA,CONSUMER,87702.45,,0.0,account across observation period; monthly scorecard is account-month
ACC0000226,BRW0000830,15,LOW,CREDIT_CARD,697148.01,2026-02,16618.92,account across observation period; monthly scorecard is account-month
ACC0000227,BRW0005453,180,LOW,AUTO,586049.69,2026-07,0.0,account across observation period; monthly scorecard is account-month
ACC0000228,BRW0010415,30,MEDIUM,CONSUMER,45420.02,2026-02,0.0,account across observation period; monthly scorecard is account-month
ACC0000229,BRW0001214,1,MEDIUM,AUTO,272978.47,2026-02,91083.29,account across observation period; monthly scorecard is account-month
ACC0000230,BRW0003016,60,LOW,BNPL,174382.46,,180178.4,account across observation period; monthly scorecard is account-month
ACC0000231,BRW0007753,45,LOW,PERSONAL,315245.25,,110504.07,account across observation period; monthly scorecard is account-month
ACC0000232,BRW0008660,60,LOW,BNPL,262676.41,2026-03,0.0,account across observation period; monthly scorecard is account-month
ACC0000233,BRW0011117,30,HIGH,AUTO,694921.67,2026-02,0.0,account across observation period; monthly scorecard is account-month
