month,dpd_bucket,risk_segment,accounts,outstanding
2026-05,90+,NPA,254,91102144.41999999
2026-06,current,HIGH,118,43547724.3
2026-06,current,LOW,110,37398921.97
2026-06,current,MEDIUM,121,39986311.67999999
2026-06,current,NPA,127,50908850.61000001
2026-06,1-30,HIGH,520,183234471.5
2026-06,1-30,LOW,479,165017978.64000002
2026-06,1-30,MEDIUM,523,181438415.56000003
2026-06,1-30,NPA,457,171390078.23000002
2026-06,31-60,HIGH,232,79133939.35
2026-06,31-60,LOW,271,94710670.99
2026-06,31-60,MEDIUM,255,91507036.52000001
2026-06,31-60,NPA,245,82021786.0
2026-06,61-90,HIGH,248,88663600.17
2026-06,61-90,LOW,295,101134329.53999999
2026-06,61-90,MEDIUM,277,96251744.81
2026-06,61-90,NPA,260,86827891.86
2026-06,90+,HIGH,256,90048162.99
2026-06,90+,LOW,250,79412838.83
2026-06,90+,MEDIUM,246,84772267.05000001
2026-06,90+,NPA,245,87270204.6
2026-07,current,HIGH,105,37471074.72
2026-07,current,LOW,123,42330711.0
2026-07,current,MEDIUM,143,49870676.480000004
2026-07,current,NPA,122,43912948.18
2026-07,1-30,HIGH,528,190964325.57
2026-07,1-30,LOW,476,173875395.85
2026-07,1-30,MEDIUM,523,188872014.4
2026-07,1-30,NPA,510,186863031.22999996
2026-07,31-60,HIGH,287,102508642.27
2026-07,31-60,LOW,269,101500598.32
2026-07,31-60,MEDIUM,269,98559467.75
2026-07,31-60,NPA,249,85360696.94
2026-07,61-90,HIGH,255,92247056.41999999
2026-07,61-90,LOW,292,106997231.75
2026-07,61-90,MEDIUM,239,84384915.02000001
2026-07,61-90,NPA,268,87675371.97000001
2026-07,90+,HIGH,246,92257460.85000001
2026-07,90+,LOW,264,97863493.89000002
2026-07,90+,MEDIUM,250,86497169.18
2026-07,90+,NPA,248,86518819.27
2026-08,current,HIGH,41,14488352.93
2026-08,current,LOW,40,15771542.75
2026-08,current,MEDIUM,38,13128100.12
2026-08,current,NPA,34,13354261.74
2026-08,1-30,HIGH,134,45975549.010000005
2026-08,1-30,LOW,125,45810910.87
2026-08,1-30,MEDIUM,157,53980557.81
2026-08,1-30,NPA,129,47603812.28
2026-08,31-60,HIGH,68,22996023.56
2026-08,31-60,LOW,84,28867454.64
2026-08,31-60,MEDIUM,73,24552064.73
2026-08,31-60,NPA,86,29931225.25
2026-08,61-90,HIGH,64,22078038.52
2026-08,61-90,LOW,69,20484021.439999998
2026-08,61-90,MEDIUM,79,28369999.759999998
2026-08,61-90,NPA,63,20728599.240000006
2026-08,90+,HIGH,63,22693004.389999997
2026-08,90+,LOW,70,23803205.79
2026-08,90+,MEDIUM,74,23373559.560000002
2026-08,90+,NPA,75,28020953.239999995
