campaign_id,campaign_name,channel,strategy_version,start_at,target_definition,end_at,recovered_amount
CMP0000041,30DPD_W1,SMS,legacy,2026-02-21 12:17:17,PROMISE_BROKEN,2026-03-17 12:17:17,1438760.3700000003
CMP0000092,NPA_RECOVERY,SMS,v3,2026-04-15 09:20:45,DPD>=60,2026-06-23 09:20:45,1438010.25
CMP0000045,30DPD_W1,VOICE,v2,2026-03-11 05:48:58,DPD>=60,2026-04-20 05:48:58,1437144.15
CMP0000032,NPA_RECOVERY,MIXED,v2,2026-03-12 04:07:43,DPD>=30,2026-03-22 04:07:43,1435671.5300000003
CMP0000051,DIGITAL_FOLLOWUP,WHATSAPP,v1,2026-01-02 11:35:04,DPD>=60,2026-01-23 11:35:04,1430574.79
CMP0000007,DIGITAL_FOLLOWUP,MIXED,v2,2026-02-14 15:20:05,PROMISE_BROKEN,2026-04-22 15:20:05,1425518.9799999997
CMP0000085,60DPD_INTENT,MIXED,legacy,2026-04-21 22:27:22,HIGH_RISK,2026-05-02 22:27:22,1421486.43
CMP0000069,BOUNCE,SMS,v3,2026-01-27 11:23:30,HIGH_RISK,2026-02-20 11:23:30,1416579.8
CMP0000098,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-01-09 09:55:35,PROMISE_BROKEN,2026-03-16 09:55:35,1408868.9799999997
CMP0000012,NPA_RECOVERY,WHATSAPP,v1,2026-01-25 09:30:00,DPD>=60,2026-04-09 09:30:00,1393773.2000000002
CMP0000099,BOUNCE,WHATSAPP,legacy,2026-03-02 17:01:23,PROMISE_BROKEN,2026-03-24 17:01:23,1388927.07
CMP0000022,60DPD_INTENT,VOICE,v3,2026-02-14 11:32:48,PROMISE_BROKEN,2026-02-22 11:32:48,1382252.2299999997
CMP0000049,60DPD_INTENT,VOICE,v1,2026-05-05 10:04:54,HIGH_RISK,2026-07-19 10:04:54,1377490.5099999998
CMP0000104,30DPD_W1,FIELD,legacy,2026-05-17 00:24:18,PROMISE_BROKEN,2026-07-30 00:24:18,1367384.12
CMP0000088,30DPD_W1,MIXED,v1,2026-02-15 08:21:24,PROMISE_BROKEN,2026-03-05 08:21:24,1348177.61
CMP0000080,NPA_RECOVERY,WHATSAPP,legacy,2026-03-03 17:19:15,DPD>=60,2026-05-13 17:19:15,1343395.4500000002
CMP0000023,BOUNCE,VOICE,v2,2026-03-23 05:03:48,NPA,2026-04-07 05:03:48,1337952.6400000004
CMP0000097,NPA_RECOVERY,MIXED,v2,2026-05-19 08:56:41,NPA,2026-06-01 08:56:41,1332010.83
CMP0000083,BOUNCE,WHATSAPP,v2,2026-05-08 17:33:24,PROMISE_BROKEN,2026-06-07 17:33:24,1325796.5699999998
CMP0000077,BOUNCE,FIELD,v1,2026-01-14 07:27:53,DPD>=60,2026-01-30 07:27:53,1324538.17
CMP0000102,NPA_RECOVERY,VOICE,legacy,2026-01-22 07:08:48,HIGH_RISK,2026-02-02 07:08:48,1324332.4
CMP0000119,30DPD_W1,SMS,v2,2026-03-03 09:44:21,HIGH_RISK,2026-04-19 09:44:21,1317556.8000000003
CMP0000081,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-08 02:43:40,DPD>=60,2026-06-09 02:43:40,1297215.1999999997
CMP0000093,60DPD_INTENT,SMS,legacy,2026-04-28 07:59:35,HIGH_RISK,2026-05-05 07:59:35,1296649.5599999998
CMP0000108,NPA_RECOVERY,VOICE,v3,2026-04-25 09:07:24,HIGH_RISK,2026-07-22 09:07:24,1292446.53
CMP0000036,30DPD_W1,SMS,v1,2026-04-11 15:43:53,NPA,2026-06-23 15:43:53,1278411.9
CMP0000047,BOUNCE,WHATSAPP,v2,2026-02-25 09:15:45,DPD>=60,2026-05-16 09:15:45,1278029.19
CMP0000042,BOUNCE,FIELD,v3,2026-03-02 00:10:05,PROMISE_BROKEN,2026-03-22 00:10:05,1271038.7500000002
CMP0000018,60DPD_INTENT,SMS,legacy,2026-03-18 01:50:57,DPD>=60,2026-03-27 01:50:57,1268874.1399999997
CMP0000054,BOUNCE,SMS,v3,2026-03-05 00:26:04,DPD>=60,2026-04-02 00:26:04,1265883.23
CMP0000040,DIGITAL_FOLLOWUP,FIELD,v1,2026-05-03 20:51:07,NPA,2026-05-23 20:51:07,1263940.1400000001
CMP0000063,BOUNCE,WHATSAPP,v1,2026-03-20 08:06:07,HIGH_RISK,2026-04-08 08:06:07,1258710.54
CMP0000059,30DPD_W1,MIXED,legacy,2026-01-27 01:14:56,HIGH_RISK,2026-03-21 01:14:56,1254121.52
CMP0000034,DIGITAL_FOLLOWUP,VOICE,v3,2026-03-21 17:20:59,NPA,2026-05-02 17:20:59,1246010.8599999999
CMP0000052,BOUNCE,SMS,v2,2026-05-08 03:08:50,HIGH_RISK,2026-07-06 03:08:50,1244213.0
CMP0000105,BOUNCE,FIELD,v2,2026-05-26 22:40:48,DPD>=30,2026-07-11 22:40:48,1241307.07
CMP0000011,NPA_RECOVERY,WHATSAPP,v3,2026-04-25 20:04:28,HIGH_RISK,2026-05-11 20:04:28,1235286.34
CMP0000111,30DPD_W1,FIELD,v1,2026-04-05 05:48:41,PROMISE_BROKEN,2026-06-23 05:48:41,1225735.51
CMP0000113,30DPD_W1,WHATSAPP,legacy,2026-05-14 21:42:31,DPD>=60,2026-06-14 21:42:31,1221290.1099999999
CMP0000031,30DPD_W1,VOICE,v3,2026-03-03 00:32:23,NPA,2026-03-12 00:32:23,1217388.0599999998
CMP0000094,60DPD_INTENT,WHATSAPP,v3,2026-04-16 05:34:54,DPD>=30,2026-05-26 05:34:54,1216713.12
CMP0000076,DIGITAL_FOLLOWUP,VOICE,v3,2026-01-30 08:50:48,NPA,2026-03-01 08:50:48,1216560.54
CMP0000037,BOUNCE,SMS,v2,2026-03-07 11:13:43,DPD>=60,2026-04-26 11:13:43,1207574.59
CMP0000115,BOUNCE,FIELD,v2,2026-05-20 02:04:12,DPD>=30,2026-07-13 02:04:12,1207367.3699999999
CMP0000110,DIGITAL_FOLLOWUP,VOICE,v2,2026-03-27 07:28:13,DPD>=30,2026-05-01 07:28:13,1203045.27
CMP0000010,30DPD_W1,FIELD,v1,2026-02-14 13:09:24,DPD>=30,2026-04-30 13:09:24,1200175.76
CMP0000056,60DPD_INTENT,WHATSAPP,v1,2026-05-25 06:47:13,NPA,2026-07-06 06:47:13,1184361.8
CMP0000066,60DPD_INTENT,WHATSAPP,v2,2026-03-17 23:43:03,HIGH_RISK,2026-05-27 23:43:03,1183902.5799999998
CMP0000068,NPA_RECOVERY,VOICE,v1,2026-05-22 16:53:20,NPA,2026-07-09 16:53:20,1174217.65
CMP0000062,NPA_RECOVERY,SMS,legacy,2026-04-26 07:08:27,DPD>=60,2026-06-17 07:08:27,1171761.71
CMP0000112,60DPD_INTENT,MIXED,v3,2026-01-07 16:43:03,DPD>=30,2026-02-01 16:43:03,1159591.85
CMP0000005,60DPD_INTENT,WHATSAPP,legacy,2026-05-04 04:16:21,DPD>=60,2026-07-08 04:16:21,1147845.91
CMP0000004,BOUNCE,VOICE,legacy,2026-04-28 06:15:30,DPD>=60,2026-05-29 06:15:30,1135727.1700000002
CMP0000075,30DPD_W1,WHATSAPP,v3,2026-04-09 08:03:12,DPD>=30,2026-05-19 08:03:12,1125514.11
CMP0000016,NPA_RECOVERY,MIXED,v1,2026-01-03 16:12:01,NPA,2026-02-10 16:12:01,1111503.6400000001
CMP0000100,BOUNCE,WHATSAPP,v3,2026-03-17 20:23:22,DPD>=30,2026-05-08 20:23:22,1111339.99
CMP0000061,30DPD_W1,WHATSAPP,v3,2026-04-14 08:22:26,DPD>=60,2026-04-28 08:22:26,1099284.6999999997
CMP0000044,NPA_RECOVERY,SMS,v1,2026-03-23 18:14:45,NPA,2026-05-06 18:14:45,1091209.78
CMP0000060,30DPD_W1,SMS,v3,2026-02-04 15:29:51,DPD>=30,2026-03-02 15:29:51,1086892.45
CMP0000067,30DPD_W1,MIXED,v2,2026-03-28 15:50:36,DPD>=60,2026-05-10 15:50:36,1064535.27
CMP0000106,NPA_RECOVERY,SMS,v3,2026-03-22 01:15:07,PROMISE_BROKEN,2026-04-05 01:15:07,1063866.4000000001
CMP0000101,BOUNCE,MIXED,v3,2026-04-26 07:04:43,DPD>=30,2026-07-11 07:04:43,1063765.27
CMP0000070,60DPD_INTENT,WHATSAPP,v1,2026-01-01 09:34:51,DPD>=60,2026-02-26 09:34:51,1060768.01
CMP0000079,NPA_RECOVERY,MIXED,legacy,2026-04-02 00:02:58,HIGH_RISK,2026-05-16 00:02:58,1057316.4800000002
CMP0000013,30DPD_W1,VOICE,v2,2026-02-11 05:46:54,NPA,2026-03-14 05:46:54,1053398.77
CMP0000035,30DPD_W1,MIXED,legacy,2026-02-01 21:10:43,DPD>=30,2026-04-21 21:10:43,1041899.13
CMP0000103,NPA_RECOVERY,WHATSAPP,legacy,2026-04-28 08:14:52,PROMISE_BROKEN,2026-07-26 08:14:52,1014176.9299999999
CMP0000009,60DPD_INTENT,WHATSAPP,v1,2026-04-18 15:47:29,HIGH_RISK,2026-06-07 15:47:29,1007646.7600000001
CMP0000086,DIGITAL_FOLLOWUP,SMS,v3,2026-03-21 16:05:57,PROMISE_BROKEN,2026-05-25 16:05:57,997712.77
CMP0000074,BOUNCE,MIXED,legacy,2026-01-13 08:31:25,DPD>=30,2026-03-20 08:31:25,995991.06
CMP0000019,NPA_RECOVERY,WHATSAPP,v1,2026-01-02 07:31:38,PROMISE_BROKEN,2026-03-31 07:31:38,985746.05
CMP0000043,NPA_RECOVERY,WHATSAPP,legacy,2026-01-07 22:31:46,HIGH_RISK,2026-01-21 22:31:46,984688.0700000001
CMP0000029,60DPD_INTENT,MIXED,v1,2026-01-30 21:23:04,NPA,2026-04-21 21:23:04,972490.2800000001
CMP0000015,DIGITAL_FOLLOWUP,FIELD,v3,2026-01-15 11:24:07,DPD>=60,2026-01-22 11:24:07,968826.6699999999
CMP0000055,BOUNCE,MIXED,v3,2026-03-03 13:30:20,DPD>=60,2026-03-13 13:30:20,948676.82
CMP0000026,30DPD_W1,FIELD,legacy,2026-04-13 11:42:06,DPD>=60,2026-06-03 11:42:06,944840.0
CMP0000107,DIGITAL_FOLLOWUP,SMS,legacy,2026-01-05 12:12:50,NPA,2026-01-16 12:12:50,927957.76
CMP0000038,NPA_RECOVERY,FIELD,v2,2026-05-29 20:31:27,HIGH_RISK,2026-06-25 20:31:27,921413.87
CMP0000120,NPA_RECOVERY,SMS,v3,2026-03-30 14:30:16,DPD>=60,2026-05-03 14:30:16,891216.66
CMP0000048,NPA_RECOVERY,WHATSAPP,v2,2026-01-13 07:51:48,DPD>=30,2026-02-16 07:51:48,867464.08
CMP0000003,30DPD_W1,MIXED,v1,2026-04-11 16:02:51,DPD>=30,2026-05-18 16:02:51,864612.58
CMP0000027,BOUNCE,VOICE,legacy,2026-05-06 14:37:12,DPD>=30,2026-06-18 14:37:12,862733.0099999999
CMP0000021,NPA_RECOVERY,FIELD,legacy,2026-03-06 23:00:21,DPD>=60,2026-04-27 23:00:21,860840.17
CMP0000096,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-03-24 06:37:49,DPD>=60,2026-04-21 06:37:49,816121.1499999999
CMP0000091,DIGITAL_FOLLOWUP,VOICE,v3,2026-02-01 07:10:37,DPD>=30,2026-04-29 07:10:37,815290.21
CMP0000050,NPA_RECOVERY,SMS,v1,2026-04-25 22:41:49,HIGH_RISK,2026-07-16 22:41:49,805900.71
CMP0000020,NPA_RECOVERY,WHATSAPP,v3,2026-05-29 18:13:39,PROMISE_BROKEN,2026-08-16 18:13:39,794002.1100000001
CMP0000024,NPA_RECOVERY,SMS,legacy,2026-04-13 11:03:05,NPA,2026-05-20 11:03:05,791622.0
CMP0000030,30DPD_W1,SMS,v2,2026-02-25 09:36:33,PROMISE_BROKEN,2026-05-16 09:36:33,770535.0800000001
CMP0000116,DIGITAL_FOLLOWUP,VOICE,v1,2026-05-09 23:11:42,HIGH_RISK,2026-06-03 23:11:42,761753.63
CMP0000082,DIGITAL_FOLLOWUP,MIXED,v2,2026-03-22 19:38:40,HIGH_RISK,2026-05-27 19:38:40,760785.22
CMP0000017,NPA_RECOVERY,MIXED,v3,2026-04-04 07:20:05,HIGH_RISK,2026-04-13 07:20:05,752059.3699999999
CMP0000090,30DPD_W1,FIELD,v2,2026-02-22 22:34:41,PROMISE_BROKEN,2026-05-08 22:34:41,746752.2400000001
CMP0000084,BOUNCE,FIELD,legacy,2026-01-22 22:40:49,PROMISE_BROKEN,2026-02-26 22:40:49,742670.89
CMP0000046,BOUNCE,WHATSAPP,v3,2026-04-15 13:40:26,PROMISE_BROKEN,2026-06-23 13:40:26,680543.06
CMP0000089,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-16 00:37:46,DPD>=60,2026-04-29 00:37:46,669055.01
CMP0000064,60DPD_INTENT,FIELD,v2,2026-02-05 08:13:24,DPD>=30,2026-04-07 08:13:24,632727.6900000001
CMP0000087,60DPD_INTENT,SMS,legacy,2026-03-13 01:08:02,PROMISE_BROKEN,2026-03-30 01:08:02,588687.86
CMP0000078,60DPD_INTENT,SMS,v2,2026-02-01 10:00:16,HIGH_RISK,2026-02-15 10:00:16,552888.8
CMP0000053,DIGITAL_FOLLOWUP,VOICE,v1,2026-02-04 22:16:31,HIGH_RISK,2026-02-20 22:16:31,467575.6
CMP0000073,60DPD_INTENT,SMS,v2,2026-02-28 03:36:18,PROMISE_BROKEN,2026-05-01 03:36:18,450535.51
