raw_borrower_id,canonical_borrower_id,resolution_method,resolution_confidence,account_count
BRW0008197,BRW::BRW0008197,stable_borrower_id,HIGH,
BRW0011071,BRW::BRW0011071,stable_borrower_id,HIGH,3.0
BRW0008938,BRW::BRW0008938,stable_borrower_id,HIGH,1.0
BRW0004400,BRW::BRW0004400,stable_borrower_id,HIGH,5.0
BRW0011611,BRW::BRW0011611,stable_borrower_id,HIGH,1.0
BRW0004931,BRW::BRW0004931,stable_borrower_id,HIGH,1.0
BRW0003910,BRW::BRW0003910,stable_borrower_id,HIGH,5.0
BRW0010867,BRW::BRW0010867,stable_borrower_id,HIGH,
BRW0004446,BRW::BRW0004446,stable_borrower_id,HIGH,2.0
BRW0000917,BRW::BRW0000917,stable_borrower_id,HIGH,1.0
BRW0005635,BRW::BRW0005635,stable_borrower_id,HIGH,
BRW0009549,BRW::BRW0009549,stable_borrower_id,HIGH,1.0
BRW0002274,BRW::BRW0002274,stable_borrower_id,HIGH,
BRW0005556,BRW::BRW0005556,stable_borrower_id,HIGH,3.0
BRW0001560,BRW::BRW0001560,stable_borrower_id,HIGH,
BRW0008238,BRW::BRW0008238,stable_borrower_id,HIGH,4.0
BRW0005709,BRW::BRW0005709,stable_borrower_id,HIGH,1.0
BRW0003963,BRW::BRW0003963,stable_borrower_id,HIGH,2.0
BRW0002723,BRW::BRW0002723,stable_borrower_id,HIGH,3.0
BRW0006774,BRW::BRW0006774,stable_borrower_id,HIGH,3.0
BRW0008038,BRW::BRW0008038,stable_borrower_id,HIGH,3.0
BRW0011284,BRW::BRW0011284,stable_borrower_id,HIGH,3.0
BRW0005246,BRW::BRW0005246,stable_borrower_id,HIGH,2.0
BRW0001929,BRW::BRW0001929,stable_borrower_id,HIGH,5.0
BRW0009993,BRW::BRW0009993,stable_borrower_id,HIGH,5.0
BRW0007558,BRW::BRW0007558,stable_borrower_id,HIGH,1.0
BRW0008404,BRW::BRW0008404,stable_borrower_id,HIGH,1.0
BRW0001167,BRW::BRW0001167,stable_borrower_id,HIGH,1.0
BRW0003749,BRW::BRW0003749,stable_borrower_id,HIGH,
BRW0009215,BRW::BRW0009215,stable_borrower_id,HIGH,1.0
BRW0009988,BRW::BRW0009988,stable_borrower_id,HIGH,
BRW0005223,BRW::BRW0005223,stable_borrower_id,HIGH,
BRW0009658,BRW::BRW0009658,stable_borrower_id,HIGH,4.0
BRW0010101,BRW::BRW0010101,stable_borrower_id,HIGH,3.0
BRW0004650,BRW::BRW0004650,stable_borrower_id,HIGH,4.0
BRW0010778,BRW::BRW0010778,stable_borrower_id,HIGH,
BRW0003460,BRW::BRW0003460,stable_borrower_id,HIGH,2.0
BRW0002875,BRW::BRW0002875,stable_borrower_id,HIGH,1.0
BRW0008190,BRW::BRW0008190,stable_borrower_id,HIGH,6.0
BRW0007642,BRW::BRW0007642,stable_borrower_id,HIGH,2.0
BRW0001678,BRW::BRW0001678,stable_borrower_id,HIGH,1.0
BRW0009993,BRW::BRW0009993,stable_borrower_id,HIGH,5.0
BRW0002399,BRW::BRW0002399,stable_borrower_id,HIGH,5.0
BRW0009659,BRW::BRW0009659,stable_borrower_id,HIGH,4.0
BRW0000089,BRW::BRW0000089,stable_borrower_id,HIGH,5.0
BRW0009563,BRW::BRW0009563,stable_borrower_id,HIGH,2.0
BRW0009444,BRW::BRW0009444,stable_borrower_id,HIGH,2.0
BRW0009365,BRW::BRW0009365,stable_borrower_id,HIGH,
BRW0007979,BRW::BRW0007979,stable_borrower_id,HIGH,2.0
BRW0005659,BRW::BRW0005659,stable_borrower_id,HIGH,
BRW0008462,BRW::BRW0008462,stable_borrower_id,HIGH,2.0
BRW0003326,BRW::BRW0003326,stable_borrower_id,HIGH,5.0
BRW0009369,BRW::BRW0009369,stable_borrower_id,HIGH,7.0
BRW0006668,BRW::BRW0006668,stable_borrower_id,HIGH,1.0
BRW0005507,BRW::BRW0005507,stable_borrower_id,HIGH,5.0
BRW0006068,BRW::BRW0006068,stable_borrower_id,HIGH,2.0
BRW0006825,BRW::BRW0006825,stable_borrower_id,HIGH,2.0
BRW0000448,BRW::BRW0000448,stable_borrower_id,HIGH,1.0
BRW0001678,BRW::BRW0001678,stable_borrower_id,HIGH,1.0
BRW0002946,BRW::BRW0002946,stable_borrower_id,HIGH,4.0
BRW0001375,BRW::BRW0001375,stable_borrower_id,HIGH,4.0
BRW0005276,BRW::BRW0005276,stable_borrower_id,HIGH,1.0
BRW0008021,BRW::BRW0008021,stable_borrower_id,HIGH,5.0
BRW0007854,BRW::BRW0007854,stable_borrower_id,HIGH,1.0
BRW0005654,BRW::BRW0005654,stable_borrower_id,HIGH,1.0
BRW0010261,BRW::BRW0010261,stable_borrower_id,HIGH,6.0
BRW0006783,BRW::BRW0006783,stable_borrower_id,HIGH,1.0
BRW0000951,BRW::BRW0000951,stable_borrower_id,HIGH,2.0
BRW0009180,BRW::BRW0009180,stable_borrower_id,HIGH,4.0
BRW0006896,BRW::BRW0006896,stable_borrower_id,HIGH,4.0
BRW0007617,BRW::BRW0007617,stable_borrower_id,HIGH,2.0
BRW0006785,BRW::BRW0006785,stable_borrower_id,HIGH,2.0
BRW0006643,BRW::BRW0006643,stable_borrower_id,HIGH,4.0
BRW0001087,BRW::BRW0001087,stable_borrower_id,HIGH,4.0
BRW0006711,BRW::BRW0006711,stable_borrower_id,HIGH,1.0
BRW0009539,BRW::BRW0009539,stable_borrower_id,HIGH,3.0
BRW0003648,BRW::BRW0003648,stable_borrower_id,HIGH,
BRW0007235,BRW::BRW0007235,stable_borrower_id,HIGH,4.0
BRW0000370,BRW::BRW0000370,stable_borrower_id,HIGH,3.0
BRW0004170,BRW::BRW0004170,stable_borrower_id,HIGH,2.0
BRW0005241,BRW::BRW0005241,stable_borrower_id,HIGH,5.0
BRW0011793,BRW::BRW0011793,stable_borrower_id,HIGH,1.0
BRW0002576,BRW::BRW0002576,stable_borrower_id,HIGH,
BRW0003319,BRW::BRW0003319,stable_borrower_id,HIGH,1.0
BRW0004903,BRW::BRW0004903,stable_borrower_id,HIGH,3.0
BRW0011912,BRW::BRW0011912,stable_borrower_id,HIGH,1.0
BRW0010241,BRW::BRW0010241,stable_borrower_id,HIGH,3.0
BRW0000417,BRW::BRW0000417,stable_borrower_id,HIGH,1.0
BRW0002808,BRW::BRW0002808,stable_borrower_id,HIGH,2.0
BRW0009861,BRW::BRW0009861,stable_borrower_id,HIGH,4.0
BRW0000700,BRW::BRW0000700,stable_borrower_id,HIGH,1.0
BRW0010269,BRW::BRW0010269,stable_borrower_id,HIGH,4.0
BRW0003377,BRW::BRW0003377,stable_borrower_id,HIGH,1.0
BRW0011012,BRW::BRW0011012,stable_borrower_id,HIGH,
BRW0003524,BRW::BRW0003524,stable_borrower_id,HIGH,1.0
BRW0005212,BRW::BRW0005212,stable_borrower_id,HIGH,1.0
BRW0007943,BRW::BRW0007943,stable_borrower_id,HIGH,4.0
BRW0001516,BRW::BRW0001516,stable_borrower_id,HIGH,
BRW0006685,BRW::BRW0006685,stable_borrower_id,HIGH,5.0
BRW0006061,BRW::BRW0006061,stable_borrower_id,HIGH,1.0
BRW0009407,BRW::BRW0009407,stable_borrower_id,HIGH,1.0
BRW0011954,BRW::BRW0011954,stable_borrower_id,HIGH,
BRW0007972,BRW::BRW0007972,stable_borrower_id,HIGH,3.0
BRW0004911,BRW::BRW0004911,stable_borrower_id,HIGH,4.0
BRW0004877,BRW::BRW0004877,stable_borrower_id,HIGH,3.0
BRW0005016,BRW::BRW0005016,stable_borrower_id,HIGH,5.0
BRW0009769,BRW::BRW0009769,stable_borrower_id,HIGH,3.0
BRW0003855,BRW::BRW0003855,stable_borrower_id,HIGH,3.0
BRW0002004,BRW::BRW0002004,stable_borrower_id,HIGH,1.0
BRW0004012,BRW::BRW0004012,stable_borrower_id,HIGH,2.0
BRW0000273,BRW::BRW0000273,stable_borrower_id,HIGH,2.0
BRW0001274,BRW::BRW0001274,stable_borrower_id,HIGH,6.0
BRW0001081,BRW::BRW0001081,stable_borrower_id,HIGH,2.0
BRW0009259,BRW::BRW0009259,stable_borrower_id,HIGH,2.0
BRW0008669,BRW::BRW0008669,stable_borrower_id,HIGH,3.0
BRW0008362,BRW::BRW0008362,stable_borrower_id,HIGH,6.0
BRW0005543,BRW::BRW0005543,stable_borrower_id,HIGH,4.0
BRW0008605,BRW::BRW0008605,stable_borrower_id,HIGH,1.0
BRW0001936,BRW::BRW0001936,stable_borrower_id,HIGH,
BRW0010808,BRW::BRW0010808,stable_borrower_id,HIGH,3.0
BRW0006013,BRW::BRW0006013,stable_borrower_id,HIGH,3.0
BRW0011257,BRW::BRW0011257,stable_borrower_id,HIGH,5.0
BRW0001828,BRW::BRW0001828,stable_borrower_id,HIGH,1.0
BRW0005968,BRW::BRW0005968,stable_borrower_id,HIGH,6.0
BRW0008356,BRW::BRW0008356,stable_borrower_id,HIGH,2.0
BRW0005948,BRW::BRW0005948,stable_borrower_id,HIGH,3.0
BRW0005354,BRW::BRW0005354,stable_borrower_id,HIGH,
BRW0001995,BRW::BRW0001995,stable_borrower_id,HIGH,3.0
BRW0004573,BRW::BRW0004573,stable_borrower_id,HIGH,1.0
BRW0002866,BRW::BRW0002866,stable_borrower_id,HIGH,2.0
BRW0003619,BRW::BRW0003619,stable_borrower_id,HIGH,5.0
BRW0008205,BRW::BRW0008205,stable_borrower_id,HIGH,2.0
BRW0007564,BRW::BRW0007564,stable_borrower_id,HIGH,
BRW0007287,BRW::BRW0007287,stable_borrower_id,HIGH,2.0
BRW0004342,BRW::BRW0004342,stable_borrower_id,HIGH,
BRW0011517,BRW::BRW0011517,stable_borrower_id,HIGH,7.0
BRW0001052,BRW::BRW0001052,stable_borrower_id,HIGH,2.0
BRW0004112,BRW::BRW0004112,stable_borrower_id,HIGH,3.0
BRW0001417,BRW::BRW0001417,stable_borrower_id,HIGH,
BRW0004068,BRW::BRW0004068,stable_borrower_id,HIGH,4.0
BRW0011543,BRW::BRW0011543,stable_borrower_id,HIGH,2.0
BRW0004396,BRW::BRW0004396,stable_borrower_id,HIGH,4.0
BRW0010903,BRW::BRW0010903,stable_borrower_id,HIGH,1.0
BRW0005941,BRW::BRW0005941,stable_borrower_id,HIGH,5.0
BRW0008397,BRW::BRW0008397,stable_borrower_id,HIGH,3.0
BRW0005490,BRW::BRW0005490,stable_borrower_id,HIGH,5.0
BRW0003191,BRW::BRW0003191,stable_borrower_id,HIGH,5.0
BRW0009171,BRW::BRW0009171,stable_borrower_id,HIGH,3.0
BRW0011631,BRW::BRW0011631,stable_borrower_id,HIGH,2.0
BRW0003163,BRW::BRW0003163,stable_borrower_id,HIGH,2.0
BRW0009346,BRW::BRW0009346,stable_borrower_id,HIGH,3.0
BRW0003134,BRW::BRW0003134,stable_borrower_id,HIGH,3.0
BRW0008603,BRW::BRW0008603,stable_borrower_id,HIGH,3.0
BRW0009469,BRW::BRW0009469,stable_borrower_id,HIGH,1.0
BRW0005393,BRW::BRW0005393,stable_borrower_id,HIGH,1.0
BRW0008844,BRW::BRW0008844,stable_borrower_id,HIGH,3.0
BRW0003267,BRW::BRW0003267,stable_borrower_id,HIGH,3.0
BRW0000952,BRW::BRW0000952,stable_borrower_id,HIGH,2.0
BRW0001157,BRW::BRW0001157,stable_borrower_id,HIGH,1.0
BRW0005365,BRW::BRW0005365,stable_borrower_id,HIGH,3.0
BRW0010832,BRW::BRW0010832,stable_borrower_id,HIGH,
BRW0001531,BRW::BRW0001531,stable_borrower_id,HIGH,3.0
BRW0005470,BRW::BRW0005470,stable_borrower_id,HIGH,2.0
BRW0008449,BRW::BRW0008449,stable_borrower_id,HIGH,4.0
BRW0002429,BRW::BRW0002429,stable_borrower_id,HIGH,2.0
BRW0008660,BRW::BRW0008660,stable_borrower_id,HIGH,3.0
BRW0003672,BRW::BRW0003672,stable_borrower_id,HIGH,
BRW0009704,BRW::BRW0009704,stable_borrower_id,HIGH,2.0
BRW0006951,BRW::BRW0006951,stable_borrower_id,HIGH,1.0
BRW0006563,BRW::BRW0006563,stable_borrower_id,HIGH,3.0
BRW0002122,BRW::BRW0002122,stable_borrower_id,HIGH,4.0
BRW0005559,BRW::BRW0005559,stable_borrower_id,HIGH,3.0
BRW0010280,BRW::BRW0010280,stable_borrower_id,HIGH,3.0
BRW0000235,BRW::BRW0000235,stable_borrower_id,HIGH,3.0
BRW0009103,BRW::BRW0009103,stable_borrower_id,HIGH,1.0
BRW0005914,BRW::BRW0005914,stable_borrower_id,HIGH,3.0
BRW0008634,BRW::BRW0008634,stable_borrower_id,HIGH,2.0
BRW0007960,BRW::BRW0007960,stable_borrower_id,HIGH,2.0
BRW0005186,BRW::BRW0005186,stable_borrower_id,HIGH,4.0
BRW0003705,BRW::BRW0003705,stable_borrower_id,HIGH,1.0
BRW0007528,BRW::BRW0007528,stable_borrower_id,HIGH,1.0
BRW0001683,BRW::BRW0001683,stable_borrower_id,HIGH,3.0
BRW0007010,BRW::BRW0007010,stable_borrower_id,HIGH,4.0
BRW0001137,BRW::BRW0001137,stable_borrower_id,HIGH,3.0
BRW0007799,BRW::BRW0007799,stable_borrower_id,HIGH,4.0
BRW0007545,BRW::BRW0007545,stable_borrower_id,HIGH,2.0
BRW0001014,BRW::BRW0001014,stable_borrower_id,HIGH,1.0
BRW0009090,BRW::BRW0009090,stable_borrower_id,HIGH,1.0
BRW0004990,BRW::BRW0004990,stable_borrower_id,HIGH,3.0
BRW0009443,BRW::BRW0009443,stable_borrower_id,HIGH,4.0
BRW0000500,BRW::BRW0000500,stable_borrower_id,HIGH,2.0
BRW0002154,BRW::BRW0002154,stable_borrower_id,HIGH,
BRW0005928,BRW::BRW0005928,stable_borrower_id,HIGH,1.0
BRW0002259,BRW::BRW0002259,stable_borrower_id,HIGH,2.0
BRW0003959,BRW::BRW0003959,stable_borrower_id,HIGH,1.0
BRW0007928,BRW::BRW0007928,stable_borrower_id,HIGH,3.0
BRW0001735,BRW::BRW0001735,stable_borrower_id,HIGH,4.0
BRW0008133,BRW::BRW0008133,stable_borrower_id,HIGH,6.0
BRW0001241,BRW::BRW0001241,stable_borrower_id,HIGH,3.0
BRW0002103,BRW::BRW0002103,stable_borrower_id,HIGH,1.0
BRW0007052,BRW::BRW0007052,stable_borrower_id,HIGH,2.0
BRW0009522,BRW::BRW0009522,stable_borrower_id,HIGH,2.0
BRW0002048,BRW::BRW0002048,stable_borrower_id,HIGH,3.0
BRW0003600,BRW::BRW0003600,stable_borrower_id,HIGH,2.0
BRW0011102,BRW::BRW0011102,stable_borrower_id,HIGH,1.0
BRW0011877,BRW::BRW0011877,stable_borrower_id,HIGH,4.0
BRW0006973,BRW::BRW0006973,stable_borrower_id,HIGH,2.0
BRW0005365,BRW::BRW0005365,stable_borrower_id,HIGH,3.0
BRW0004163,BRW::BRW0004163,stable_borrower_id,HIGH,3.0
BRW0007350,BRW::BRW0007350,stable_borrower_id,HIGH,3.0
BRW0007091,BRW::BRW0007091,stable_borrower_id,HIGH,3.0
BRW0003538,BRW::BRW0003538,stable_borrower_id,HIGH,3.0
BRW0000274,BRW::BRW0000274,stable_borrower_id,HIGH,3.0
BRW0001818,BRW::BRW0001818,stable_borrower_id,HIGH,2.0
BRW0011503,BRW::BRW0011503,stable_borrower_id,HIGH,3.0
BRW0005018,BRW::BRW0005018,stable_borrower_id,HIGH,3.0
BRW0005788,BRW::BRW0005788,stable_borrower_id,HIGH,2.0
BRW0005606,BRW::BRW0005606,stable_borrower_id,HIGH,2.0
BRW0009393,BRW::BRW0009393,stable_borrower_id,HIGH,2.0
BRW0000780,BRW::BRW0000780,stable_borrower_id,HIGH,
BRW0000993,BRW::BRW0000993,stable_borrower_id,HIGH,3.0
BRW0003311,BRW::BRW0003311,stable_borrower_id,HIGH,2.0
BRW0005840,BRW::BRW0005840,stable_borrower_id,HIGH,6.0
BRW0008054,BRW::BRW0008054,stable_borrower_id,HIGH,7.0
BRW0005889,BRW::BRW0005889,stable_borrower_id,HIGH,2.0
BRW0005295,BRW::BRW0005295,stable_borrower_id,HIGH,3.0
BRW0011254,BRW::BRW0011254,stable_borrower_id,HIGH,4.0
BRW0001933,BRW::BRW0001933,stable_borrower_id,HIGH,2.0
BRW0006861,BRW::BRW0006861,stable_borrower_id,HIGH,2.0
BRW0006507,BRW::BRW0006507,stable_borrower_id,HIGH,1.0
BRW0005682,BRW::BRW0005682,stable_borrower_id,HIGH,2.0
BRW0009692,BRW::BRW0009692,stable_borrower_id,HIGH,5.0
BRW0003204,BRW::BRW0003204,stable_borrower_id,HIGH,1.0
BRW0011446,BRW::BRW0011446,stable_borrower_id,HIGH,4.0
BRW0003979,BRW::BRW0003979,stable_borrower_id,HIGH,
BRW0006541,BRW::BRW0006541,stable_borrower_id,HIGH,2.0
BRW0006249,BRW::BRW0006249,stable_borrower_id,HIGH,5.0
BRW0010198,BRW::BRW0010198,stable_borrower_id,HIGH,1.0
BRW0005267,BRW::BRW0005267,stable_borrower_id,HIGH,2.0
BRW0003415,BRW::BRW0003415,stable_borrower_id,HIGH,4.0
BRW0000260,BRW::BRW0000260,stable_borrower_id,HIGH,2.0
BRW0004365,BRW::BRW0004365,stable_borrower_id,HIGH,2.0
BRW0009916,BRW::BRW0009916,stable_borrower_id,HIGH,2.0
BRW0000119,BRW::BRW0000119,stable_borrower_id,HIGH,1.0
BRW0010754,BRW::BRW0010754,stable_borrower_id,HIGH,3.0
BRW0006514,BRW::BRW0006514,stable_borrower_id,HIGH,
BRW0001683,BRW::BRW0001683,stable_borrower_id,HIGH,3.0
BRW0003627,BRW::BRW0003627,stable_borrower_id,HIGH,2.0
BRW0006649,BRW::BRW0006649,stable_borrower_id,HIGH,
BRW0003789,BRW::BRW0003789,stable_borrower_id,HIGH,5.0
BRW0001303,BRW::BRW0001303,stable_borrower_id,HIGH,4.0
BRW0007992,BRW::BRW0007992,stable_borrower_id,HIGH,4.0
BRW0008067,BRW::BRW0008067,stable_borrower_id,HIGH,1.0
BRW0001427,BRW::BRW0001427,stable_borrower_id,HIGH,
BRW0003375,BRW::BRW0003375,stable_borrower_id,HIGH,2.0
BRW0002927,BRW::BRW0002927,stable_borrower_id,HIGH,
BRW0007914,BRW::BRW0007914,stable_borrower_id,HIGH,1.0
BRW0008764,BRW::BRW0008764,stable_borrower_id,HIGH,1.0
BRW0008724,BRW::BRW0008724,stable_borrower_id,HIGH,4.0
BRW0011266,BRW::BRW0011266,stable_borrower_id,HIGH,3.0
BRW0009224,BRW::BRW0009224,stable_borrower_id,HIGH,2.0
BRW0003849,BRW::BRW0003849,stable_borrower_id,HIGH,3.0
BRW0001293,BRW::BRW0001293,stable_borrower_id,HIGH,1.0
BRW0007376,BRW::BRW0007376,stable_borrower_id,HIGH,2.0
BRW0010993,BRW::BRW0010993,stable_borrower_id,HIGH,2.0
BRW0011702,BRW::BRW0011702,stable_borrower_id,HIGH,1.0
BRW0002763,BRW::BRW0002763,stable_borrower_id,HIGH,3.0
BRW0002838,BRW::BRW0002838,stable_borrower_id,HIGH,4.0
BRW0000449,BRW::BRW0000449,stable_borrower_id,HIGH,1.0
BRW0001696,BRW::BRW0001696,stable_borrower_id,HIGH,1.0
BRW0006659,BRW::BRW0006659,stable_borrower_id,HIGH,5.0
BRW0006562,BRW::BRW0006562,stable_borrower_id,HIGH,
BRW0004452,BRW::BRW0004452,stable_borrower_id,HIGH,2.0
BRW0003720,BRW::BRW0003720,stable_borrower_id,HIGH,1.0
BRW0009958,BRW::BRW0009958,stable_borrower_id,HIGH,5.0
BRW0005521,BRW::BRW0005521,stable_borrower_id,HIGH,1.0
BRW0009700,BRW::BRW0009700,stable_borrower_id,HIGH,2.0
BRW0011559,BRW::BRW0011559,stable_borrower_id,HIGH,3.0
BRW0003806,BRW::BRW0003806,stable_borrower_id,HIGH,2.0
BRW0002433,BRW::BRW0002433,stable_borrower_id,HIGH,
BRW0011435,BRW::BRW0011435,stable_borrower_id,HIGH,2.0
BRW0007618,BRW::BRW0007618,stable_borrower_id,HIGH,3.0
BRW0003492,BRW::BRW0003492,stable_borrower_id,HIGH,1.0
BRW0007463,BRW::BRW0007463,stable_borrower_id,HIGH,1.0
BRW0006181,BRW::BRW0006181,stable_borrower_id,HIGH,4.0
BRW0010867,BRW::BRW0010867,stable_borrower_id,HIGH,
BRW0003072,BRW::BRW0003072,stable_borrower_id,HIGH,2.0
BRW0011897,BRW::BRW0011897,stable_borrower_id,HIGH,3.0
BRW0011233,BRW::BRW0011233,stable_borrower_id,HIGH,1.0
BRW0002169,BRW::BRW0002169,stable_borrower_id,HIGH,3.0
BRW0001976,BRW::BRW0001976,stable_borrower_id,HIGH,4.0
BRW0006398,BRW::BRW0006398,stable_borrower_id,HIGH,4.0
BRW0000539,BRW::BRW0000539,stable_borrower_id,HIGH,1.0
BRW0003586,BRW::BRW0003586,stable_borrower_id,HIGH,1.0
BRW0005222,BRW::BRW0005222,stable_borrower_id,HIGH,3.0
BRW0011633,BRW::BRW0011633,stable_borrower_id,HIGH,5.0
BRW0011909,BRW::BRW0011909,stable_borrower_id,HIGH,5.0
BRW0001819,BRW::BRW0001819,stable_borrower_id,HIGH,3.0
BRW0010701,BRW::BRW0010701,stable_borrower_id,HIGH,6.0
BRW0001092,BRW::BRW0001092,stable_borrower_id,HIGH,3.0
BRW0008984,BRW::BRW0008984,stable_borrower_id,HIGH,2.0
BRW0010148,BRW::BRW0010148,stable_borrower_id,HIGH,4.0
BRW0010690,BRW::BRW0010690,stable_borrower_id,HIGH,5.0
BRW0002682,BRW::BRW0002682,stable_borrower_id,HIGH,1.0
BRW0010722,BRW::BRW0010722,stable_borrower_id,HIGH,3.0
BRW0001392,BRW::BRW0001392,stable_borrower_id,HIGH,1.0
BRW0006227,BRW::BRW0006227,stable_borrower_id,HIGH,1.0
BRW0005635,BRW::BRW0005635,stable_borrower_id,HIGH,
BRW0003792,BRW::BRW0003792,stable_borrower_id,HIGH,2.0
BRW0000266,BRW::BRW0000266,stable_borrower_id,HIGH,1.0
BRW0009265,BRW::BRW0009265,stable_borrower_id,HIGH,3.0
BRW0004028,BRW::BRW0004028,stable_borrower_id,HIGH,3.0
BRW0007940,BRW::BRW0007940,stable_borrower_id,HIGH,1.0
BRW0004923,BRW::BRW0004923,stable_borrower_id,HIGH,3.0
BRW0004484,BRW::BRW0004484,stable_borrower_id,HIGH,1.0
BRW0010636,BRW::BRW0010636,stable_borrower_id,HIGH,
BRW0001134,BRW::BRW0001134,stable_borrower_id,HIGH,1.0
BRW0008840,BRW::BRW0008840,stable_borrower_id,HIGH,3.0
BRW0008962,BRW::BRW0008962,stable_borrower_id,HIGH,
BRW0004560,BRW::BRW0004560,stable_borrower_id,HIGH,
BRW0003150,BRW::BRW0003150,stable_borrower_id,HIGH,4.0
BRW0000064,BRW::BRW0000064,stable_borrower_id,HIGH,1.0
BRW0011242,BRW::BRW0011242,stable_borrower_id,HIGH,4.0
BRW0011373,BRW::BRW0011373,stable_borrower_id,HIGH,4.0
BRW0002892,BRW::BRW0002892,stable_borrower_id,HIGH,2.0
BRW0000383,BRW::BRW0000383,stable_borrower_id,HIGH,1.0
BRW0001474,BRW::BRW0001474,stable_borrower_id,HIGH,3.0
BRW0000812,BRW::BRW0000812,stable_borrower_id,HIGH,2.0
BRW0009974,BRW::BRW0009974,stable_borrower_id,HIGH,1.0
BRW0010703,BRW::BRW0010703,stable_borrower_id,HIGH,1.0
BRW0001840,BRW::BRW0001840,stable_borrower_id,HIGH,2.0
