dataset,column,dtype,examples
call_attempts,borrower_id,str,BRW0000705; BRW0002732; BRW0002174
call_attempts,event_at,str,2026-03-10 21:31:13; 2026-05-01 20:55:02; 2026-06-05 20:57:37
call_attempts,call_id,str,CALL0019052; CALL0011950; CALL0017411
call_attempts,agent_id,str,AGT0000685; AGT0000472; AGT0000035
call_attempts,attempt_no,str,5; 4; 1
call_attempts,vendor_id,str,VND0000013; VND0000006; VND0000015
call_attempts,attempt_status,str,FAILED; CONNECTED; RINGING
call_attempts,event_at_raw,str,2026-03-10 21:31:13; 2026-05-01 20:55:02; 2026-06-05 20:57:37
call_attempts,event_at_parsed,datetime64[us],2026-03-10 21:31:13; 2026-05-01 20:55:02; 2026-06-05 20:57:37
call_attempts,timezone_raw,str,Asia/Kolkata
call_attempts,event_at_utc,"datetime64[us, UTC]",2026-03-10 16:01:13+00:00; 2026-05-01 15:25:02+00:00; 2026-06-05 15:27:37+00:00
call_attempts,event_at_local,"datetime64[us, Asia/Kolkata]",2026-03-10 21:31:13+05:30; 2026-05-01 20:55:02+05:30; 2026-06-05 20:57:37+05:30
call_attempts,event_at_date_local,object,2026-03-10; 2026-05-01; 2026-06-05
call_attempts,event_at_hour_local,int32,21; 20; 6
call_attempts,month,str,2026-03; 2026-05; 2026-06
call_dispositions,disposition_id,str,DISPOSITION0000001; DISPOSITION0000002; DISPOSITION0000003
call_dispositions,account_id,str,ACC0029208; ACC0009584; ACC0003386
call_dispositions,borrower_id,str,BRW0006282; BRW0000540; BRW0010257
call_dispositions,event_at,str,2026-03-07 17:30:48; 2026-04-04 11:59:50; 2026-03-11 01:25:13
call_dispositions,call_id,str,CALL0032272; CALL0053880; CALL0048622
call_dispositions,agent_id,str,AGT0000759; AGT0000085; AGT0000319
call_dispositions,disposition_code,str,CALLBACK; PROMISE_TO_PAY; NO_CONTACT
call_dispositions,disposition_version,str,v2; legacy; v1
call_dispositions,event_at_raw,str,2026-03-07 17:30:48; 2026-04-04 11:59:50; 2026-03-11 01:25:13
call_dispositions,event_at_parsed,datetime64[us],2026-03-07 17:30:48; 2026-04-04 11:59:50; 2026-03-11 01:25:13
call_dispositions,timezone_raw,str,Asia/Kolkata
call_dispositions,event_at_utc,"datetime64[us, UTC]",2026-03-07 12:00:48+00:00; 2026-04-04 06:29:50+00:00; 2026-03-10 19:55:13+00:00
call_dispositions,event_at_local,"datetime64[us, Asia/Kolkata]",2026-03-07 17:30:48+05:30; 2026-04-04 11:59:50+05:30; 2026-03-11 01:25:13+05:30
call_dispositions,event_at_date_local,object,2026-03-07; 2026-04-04; 2026-03-11
call_dispositions,event_at_hour_local,int32,17; 11; 1
call_dispositions,month,str,2026-03; 2026-04; 2026-05
whatsapp_events,whatsapp_event_id,str,WHATSAPP_EVENT0000001; WHATSAPP_EVENT0000002; WHATSAPP_EVENT0000003
whatsapp_events,account_id,str,ACC0006134; ACC0027479; ACC0008356
whatsapp_events,borrower_id,str,BRW0007859; BRW0003963; BRW0008340
whatsapp_events,event_at,str,2026-02-27 17:49:38; 2026-02-09 11:55:18; 2026-07-08 05:16:13
whatsapp_events,message_id,str,MSG000008171; MSG000000667; MSG000023608
whatsapp_events,event_type,str,FAILED; DELIVERED; READ
whatsapp_events,template_code,str,FIELD_VISIT; PTP_01; PAYMENT_LINK
whatsapp_events,provider_id,str,VND0000008; VND0000003; VND0000001
whatsapp_events,event_at_raw,str,2026-02-27 17:49:38; 2026-02-09 11:55:18; 2026-07-08 05:16:13
whatsapp_events,event_at_parsed,datetime64[us],2026-02-27 17:49:38; 2026-02-09 11:55:18; 2026-07-08 05:16:13
whatsapp_events,timezone_raw,str,Asia/Kolkata
whatsapp_events,event_at_utc,"datetime64[us, UTC]",2026-02-27 12:19:38+00:00; 2026-02-09 06:25:18+00:00; 2026-07-07 23:46:13+00:00
whatsapp_events,event_at_local,"datetime64[us, Asia/Kolkata]",2026-02-27 17:49:38+05:30; 2026-02-09 11:55:18+05:30; 2026-07-08 05:16:13+05:30
whatsapp_events,event_at_date_local,object,2026-02-27; 2026-02-09; 2026-07-08
whatsapp_events,event_at_hour_local,int32,17; 11; 5
whatsapp_events,month,str,2026-02; 2026-07; 2026-05
sms_events,sms_event_id,str,SMS_EVENT0000001; SMS_EVENT0000002; SMS_EVENT0000003
sms_events,account_id,str,ACC0010751; ACC0005842; ACC0014253
sms_events,borrower_id,str,BRW0009574; BRW0003619; BRW0003018
sms_events,event_at,str,2026-04-24 20:57:06; 2026-05-24 11:28:20; 2026-03-05 20:23:20
sms_events,message_id,str,SMS000022764; SMS000015050; SMS000028337
sms_events,event_type,str,CLICKED; DELIVERED; SENT
sms_events,template_code,str,PAYMENT_LINK; NOTICE; DUE_REMINDER
sms_events,provider_id,str,VND0000010; VND0000003; VND0000008
sms_events,event_at_raw,str,2026-04-24 20:57:06; 2026-05-24 11:28:20; 2026-03-05 20:23:20
sms_events,event_at_parsed,datetime64[us],2026-04-24 20:57:06; 2026-05-24 11:28:20; 2026-03-05 20:23:20
sms_events,timezone_raw,str,Asia/Kolkata
sms_events,event_at_utc,"datetime64[us, UTC]",2026-04-24 15:27:06+00:00; 2026-05-24 05:58:20+00:00; 2026-03-05 14:53:20+00:00
sms_events,event_at_local,"datetime64[us, Asia/Kolkata]",2026-04-24 20:57:06+05:30; 2026-05-24 11:28:20+05:30; 2026-03-05 20:23:20+05:30
sms_events,event_at_date_local,object,2026-04-24; 2026-05-24; 2026-03-05
sms_events,event_at_hour_local,int32,20; 11; 4
sms_events,month,str,2026-04; 2026-05; 2026-03
field_visits,visit_id,str,VISIT0000001; VISIT0000002; VISIT0000003
field_visits,account_id,str,ACC0026237; ACC0026942; ACC0022809
field_visits,borrower_id,str,BRW0009469; BRW0010461; BRW0006318
field_visits,event_at,str,2026-01-25 01:15:48; 2026-06-23 22:18:25; 2026-05-16 08:06:34
field_visits,agent_id,str,AGT0000403; AGT0000278; AGT0000723
field_visits,visit_type,str,AFTER_HOURS; NOTICE; FOLLOWUP
field_visits,outcome,str,PAID; CONTACTED; REFUSED
field_visits,latitude,str,31.861705912118765; 23.641189160004455; 22.32436986447201
field_visits,longitude,str,76.09818443918937; 74.57193466390588; 84.79053695788903
field_visits,scheduled_at,str,2026-01-24 05:49:28; 2026-06-23 14:17:54; 2026-05-16 02:58:39
field_visits,event_at_raw,str,2026-01-25 01:15:48; 2026-06-23 22:18:25; 2026-05-16 08:06:34
field_visits,event_at_parsed,datetime64[us],2026-01-25 01:15:48; 2026-06-23 22:18:25; 2026-05-16 08:06:34
field_visits,timezone_raw,str,Asia/Kolkata
field_visits,event_at_utc,"datetime64[us, UTC]",2026-01-24 19:45:48+00:00; 2026-06-23 16:48:25+00:00; 2026-05-16 02:36:34+00:00
field_visits,event_at_local,"datetime64[us, Asia/Kolkata]",2026-01-25 01:15:48+05:30; 2026-06-23 22:18:25+05:30; 2026-05-16 08:06:34+05:30
field_visits,event_at_date_local,object,2026-01-25; 2026-06-23; 2026-05-16
field_visits,event_at_hour_local,int32,1; 22; 8
field_visits,month,str,2026-01; 2026-06; 2026-05
promises_to_pay,ptp_id,str,PTP0000001; PTP0000002; PTP0000003
promises_to_pay,account_id,str,ACC0021078; ACC0026620; ACC0018900
promises_to_pay,borrower_id,str,BRW0003789; BRW0010192; BRW0011197
promises_to_pay,event_at,str,2026-04-18 21:11:02; 2026-07-08 21:49:28; 2026-08-08 08:57:34
promises_to_pay,agent_id,str,AGT0000787; AGT0000763; AGT0000878
promises_to_pay,promised_amount,str,93575.19; 83558.92; 18164.89
promises_to_pay,promised_date,str,2026-05-17 21:11:02; 2026-07-25 21:49:28; 2026-09-02 08:57:34
promises_to_pay,status,str,CANCELLED; KEPT; OPEN
promises_to_pay,source,str,FIELD; WHATSAPP; SMS
promises_to_pay,event_at_raw,str,2026-04-18 21:11:02; 2026-07-08 21:49:28; 2026-08-08 08:57:34
promises_to_pay,event_at_parsed,datetime64[us],2026-04-18 21:11:02; 2026-07-08 21:49:28; 2026-08-08 08:57:34
promises_to_pay,timezone_raw,str,Asia/Kolkata
promises_to_pay,event_at_utc,"datetime64[us, UTC]",2026-04-18 15:41:02+00:00; 2026-07-08 16:19:28+00:00; 2026-08-08 03:27:34+00:00
promises_to_pay,event_at_local,"datetime64[us, Asia/Kolkata]",2026-04-18 21:11:02+05:30; 2026-07-08 21:49:28+05:30; 2026-08-08 08:57:34+05:30
promises_to_pay,event_at_date_local,object,2026-04-18; 2026-07-08; 2026-08-08
promises_to_pay,event_at_hour_local,int32,21; 8; 6
promises_to_pay,month,str,2026-04; 2026-07; 2026-08
payments,payment_id,str,PAYMENT0000001; PAYMENT0000002; PAYMENT0000003
payments,account_id,str,ACC0015539; ACC0004445; ACC0003853
payments,borrower_id,str,BRW0011363; BRW0011306; BRW0002549
payments,event_at,str,2026-02-27 01:28:12; 2026-07-23 20:25:20; 2026-01-11 21:27:46
payments,payment_reference,str,TXN0000007457; TXN0000030016; TXN0000010466
payments,amount,str,22433.23; 23295.11; 118814.97
payments,payment_status,str,FAILED; REVERSED; SUCCESS
payments,payment_method,str,CARD; UPI; NACH
payments,provider_id,str,VND0000001; VND0000004; VND0000013
payments,event_at_raw,str,2026-02-27 01:28:12; 2026-07-23 20:25:20; 2026-01-11 21:27:46
payments,event_at_parsed,datetime64[us],2026-02-27 01:28:12; 2026-07-23 20:25:20; 2026-01-11 21:27:46
payments,timezone_raw,str,Asia/Kolkata
payments,event_at_utc,"datetime64[us, UTC]",2026-02-26 19:58:12+00:00; 2026-07-23 14:55:20+00:00; 2026-01-11 15:57:46+00:00
payments,event_at_local,"datetime64[us, Asia/Kolkata]",2026-02-27 01:28:12+05:30; 2026-07-23 20:25:20+05:30; 2026-01-11 21:27:46+05:30
payments,event_at_date_local,object,2026-02-27; 2026-07-23; 2026-01-11
payments,event_at_hour_local,int32,1; 20; 21
payments,month,str,2026-02; 2026-07; 2026-01
vendor_telephony,vendor_id,str,VND0000001; VND0000002; VND0000003
vendor_telephony,vendor_name,str,Airtel; Exotel; Twilio
vendor_telephony,vendor_account_id,str,VAC342762; VAC456766; VAC074211
vendor_telephony,timezone,str,Asia/Kolkata; UTC
vendor_telephony,status,str,INACTIVE; ACTIVE
vendor_telephony,schema_version,str,v3; v1; v2
complaints,complaint_id,str,COMPLAINT0000001; COMPLAINT0000002; COMPLAINT0000003
complaints,account_id,str,ACC0015256; ACC0002310; ACC0002989
complaints,borrower_id,str,BRW0010194; BRW0009657; BRW0008434
complaints,event_at,str,2026-04-29 16:34:08; 2026-06-20 04:52:15; 2026-01-29 14:31:42
complaints,complaint_type,str,DISPUTE; HARASSMENT; WRONG_CONTACT
complaints,severity,str,HIGH; MEDIUM; LOW
complaints,status,str,CLOSED; RESOLVED; INVESTIGATING
complaints,source,str,FIELD; CALL; WHATSAPP
complaints,resolution_at,str,2026-05-12 16:34:08; 2026-06-28 04:52:15; 2026-02-07 14:31:42
complaints,event_at_raw,str,2026-04-29 16:34:08; 2026-06-20 04:52:15; 2026-01-29 14:31:42
complaints,event_at_parsed,datetime64[us],2026-04-29 16:34:08; 2026-06-20 04:52:15; 2026-01-29 14:31:42
complaints,timezone_raw,str,Asia/Kolkata
complaints,event_at_utc,"datetime64[us, UTC]",2026-04-29 11:04:08+00:00; 2026-06-19 23:22:15+00:00; 2026-01-29 09:01:42+00:00
complaints,event_at_local,"datetime64[us, Asia/Kolkata]",2026-04-29 16:34:08+05:30; 2026-06-20 04:52:15+05:30; 2026-01-29 14:31:42+05:30
complaints,event_at_date_local,object,2026-04-29; 2026-06-20; 2026-01-29
complaints,event_at_hour_local,int32,16; 4; 14
complaints,month,str,2026-04; 2026-06; 2026-01
account_status_history,history_id,str,HISTORY0000001; HISTORY0000002; HISTORY0000003
account_status_history,account_id,str,ACC0004322; ACC0024644; ACC0020233
account_status_history,borrower_id,str,BRW0005490; BRW0005343; BRW0003150
account_status_history,event_at,str,2026-07-03 04:28:38; 2026-07-18 02:03:23; 2026-04-15 09:17:47
account_status_history,status,str,WRITEOFF; DELINQUENT; CLOSED
account_status_history,changed_by,str,AGT0000039; AGT0000059; AGT0000080
account_status_history,source,str,CALL; PAYMENT; CORE
account_status_history,recorded_at,str,2026-07-03 00:41:54; 2026-07-18 22:42:02; 2026-04-15 19:40:51
account_status_history,event_at_raw,str,2026-07-03 04:28:38; 2026-07-18 02:03:23; 2026-04-15 09:17:47
account_status_history,event_at_parsed,datetime64[us],2026-07-03 04:28:38; 2026-07-18 02:03:23; 2026-04-15 09:17:47
account_status_history,timezone_raw,str,Asia/Kolkata
account_status_history,event_at_utc,"datetime64[us, UTC]",2026-07-02 22:58:38+00:00; 2026-07-17 20:33:23+00:00; 2026-04-15 03:47:47+00:00
account_status_history,event_at_local,"datetime64[us, Asia/Kolkata]",2026-07-03 04:28:38+05:30; 2026-07-18 02:03:23+05:30; 2026-04-15 09:17:47+05:30
account_status_history,event_at_date_local,object,2026-07-03; 2026-07-18; 2026-04-15
account_status_history,event_at_hour_local,int32,4; 2; 9
account_status_history,month,str,2026-07; 2026-04; 2026-01
