dataset,column,value,count
calls,timezone,Asia/Kolkata,30485
calls,timezone,Asia/Dubai,30464
calls,timezone,UTC,30401
calls,timezone_raw,Asia/Kolkata,30485
calls,timezone_raw,Asia/Dubai,30464
calls,timezone_raw,UTC,30401
calls,event_at_hour_local,5,3964
calls,event_at_hour_local,8,3900
calls,event_at_hour_local,13,3899
calls,event_at_hour_local,2,3877
calls,event_at_hour_local,7,3845
calls,event_at_hour_local,11,3832
calls,event_at_hour_local,16,3827
calls,event_at_hour_local,19,3821
calls,event_at_hour_local,0,3817
calls,event_at_hour_local,10,3816
calls,event_at_hour_local,23,3812
calls,event_at_hour_local,12,3809
calls,event_at_hour_local,22,3788
calls,event_at_hour_local,1,3787
calls,event_at_hour_local,4,3785
calls,month,2026-03,13039
calls,month,2026-05,12942
calls,month,2026-01,12849
calls,month,2026-07,12764
calls,month,2026-04,12431
calls,month,2026-06,12318
calls,month,2026-02,11736
calls,month,2026-08,3270
calls,month,2025-12,1
call_attempts,attempt_no,4,17252
call_attempts,attempt_no,6,17207
call_attempts,attempt_no,3,17201
call_attempts,attempt_no,7,17199
call_attempts,attempt_no,2,17100
call_attempts,attempt_no,1,17089
call_attempts,attempt_no,5,16952
call_attempts,vendor_id,VND0000014,8058
call_attempts,vendor_id,VND0000001,7962
call_attempts,vendor_id,VND0000006,7932
call_attempts,vendor_id,VND0000004,7920
call_attempts,vendor_id,VND0000015,7917
call_attempts,vendor_id,VND0000003,7851
call_attempts,vendor_id,VND0000012,7824
call_attempts,vendor_id,VND0000010,7822
call_attempts,vendor_id,VND0000013,7812
call_attempts,vendor_id,VND0000008,7810
call_attempts,vendor_id,VND0000009,7788
call_attempts,vendor_id,VND0000011,7771
call_attempts,vendor_id,VND0000005,7748
call_attempts,vendor_id,VND0000002,7715
call_attempts,vendor_id,VND0000007,7670
call_attempts,attempt_status,RINGING,24087
call_attempts,attempt_status,NO_ANSWER,24042
call_attempts,attempt_status,BUSY,24037
call_attempts,attempt_status,CONNECTED,24023
call_attempts,attempt_status,FAILED,23811
call_attempts,timezone_raw,Asia/Kolkata,120000
call_attempts,event_at_hour_local,0,5143
call_attempts,event_at_hour_local,8,5125
call_attempts,event_at_hour_local,19,5106
call_attempts,event_at_hour_local,1,5106
call_attempts,event_at_hour_local,21,5057
call_attempts,event_at_hour_local,12,5056
call_attempts,event_at_hour_local,4,5048
call_attempts,event_at_hour_local,5,5047
call_attempts,event_at_hour_local,13,5038
call_attempts,event_at_hour_local,6,5026
call_attempts,event_at_hour_local,23,5008
call_attempts,event_at_hour_local,20,5001
call_attempts,event_at_hour_local,14,5001
call_attempts,event_at_hour_local,3,4989
call_attempts,event_at_hour_local,9,4987
call_attempts,month,2026-05,17008
call_attempts,month,2026-07,16889
call_attempts,month,2026-01,16863
call_attempts,month,2026-03,16680
call_attempts,month,2026-04,16601
call_attempts,month,2026-06,15994
call_attempts,month,2026-02,15592
call_attempts,month,2026-08,4373
call_dispositions,disposition_code,NO_CONTACT,4010
call_dispositions,disposition_code,WRONG_NUMBER,3946
call_dispositions,disposition_code,PROMISE_TO_PAY,3926
call_dispositions,disposition_code,PTP,3904
call_dispositions,disposition_code,PTP_BROKEN,3900
call_dispositions,disposition_code,CALLBACK,3872
call_dispositions,disposition_code,DISPUTE,3826
call_dispositions,disposition_code,PAID,3818
call_dispositions,disposition_code,REFUSED,3798
call_dispositions,disposition_version,legacy,11726
call_dispositions,disposition_version,v2,11654
call_dispositions,disposition_version,v1,11620
call_dispositions,timezone_raw,Asia/Kolkata,35000
call_dispositions,event_at_hour_local,17,1540
call_dispositions,event_at_hour_local,14,1525
call_dispositions,event_at_hour_local,15,1523
call_dispositions,event_at_hour_local,13,1517
call_dispositions,event_at_hour_local,19,1508
call_dispositions,event_at_hour_local,4,1489
call_dispositions,event_at_hour_local,0,1489
call_dispositions,event_at_hour_local,6,1481
call_dispositions,event_at_hour_local,16,1473
call_dispositions,event_at_hour_local,9,1473
call_dispositions,event_at_hour_local,18,1466
call_dispositions,event_at_hour_local,12,1454
call_dispositions,event_at_hour_local,3,1448
call_dispositions,event_at_hour_local,11,1444
call_dispositions,event_at_hour_local,2,1437
call_dispositions,month,2026-05,4980
call_dispositions,month,2026-01,4978
call_dispositions,month,2026-03,4888
call_dispositions,month,2026-07,4865
call_dispositions,month,2026-06,4821
call_dispositions,month,2026-04,4792
call_dispositions,month,2026-02,4458
call_dispositions,month,2026-08,1218
whatsapp_events,event_type,SENT,10244
whatsapp_events,event_type,PAYMENT_CLICK,10180
whatsapp_events,event_type,FAILED,10114
whatsapp_events,event_type,REPLIED,10035
whatsapp_events,event_type,READ,10022
whatsapp_events,event_type,DELIVERED,10005
whatsapp_events,template_code,PTP_01,12275
whatsapp_events,template_code,FIELD_VISIT,12177
whatsapp_events,template_code,PAYMENT_LINK,12152
whatsapp_events,template_code,LEGAL_NOTICE,12070
whatsapp_events,template_code,REMINDER_01,11926
whatsapp_events,provider_id,VND0000002,4177
whatsapp_events,provider_id,VND0000007,4154
whatsapp_events,provider_id,VND0000015,4094
whatsapp_events,provider_id,VND0000005,4089
whatsapp_events,provider_id,VND0000013,4085
whatsapp_events,provider_id,VND0000008,4053
whatsapp_events,provider_id,VND0000011,4052
whatsapp_events,provider_id,VND0000014,4049
whatsapp_events,provider_id,VND0000001,4043
whatsapp_events,provider_id,VND0000012,4022
whatsapp_events,provider_id,VND0000010,3981
whatsapp_events,provider_id,VND0000006,3980
whatsapp_events,provider_id,VND0000004,3970
whatsapp_events,provider_id,VND0000009,3961
whatsapp_events,provider_id,VND0000003,3890
whatsapp_events,timezone_raw,Asia/Kolkata,60600
whatsapp_events,event_at_hour_local,5,2666
whatsapp_events,event_at_hour_local,9,2643
whatsapp_events,event_at_hour_local,15,2591
whatsapp_events,event_at_hour_local,14,2589
whatsapp_events,event_at_hour_local,21,2577
whatsapp_events,event_at_hour_local,3,2558
whatsapp_events,event_at_hour_local,11,2553
whatsapp_events,event_at_hour_local,1,2553
whatsapp_events,event_at_hour_local,0,2550
whatsapp_events,event_at_hour_local,18,2540
whatsapp_events,event_at_hour_local,6,2531
whatsapp_events,event_at_hour_local,19,2529
whatsapp_events,event_at_hour_local,16,2525
whatsapp_events,event_at_hour_local,7,2517
whatsapp_events,event_at_hour_local,2,2510
whatsapp_events,month,2026-07,8658
whatsapp_events,month,2026-01,8573
whatsapp_events,month,2026-05,8555
whatsapp_events,month,2026-03,8284
whatsapp_events,month,2026-06,8277
whatsapp_events,month,2026-04,8256
whatsapp_events,month,2026-02,7797
whatsapp_events,month,2026-08,2200
sms_events,event_type,SENT,11391
sms_events,event_type,FAILED,11251
sms_events,event_type,DELIVERED,11219
sms_events,event_type,CLICKED,11139
sms_events,template_code,PAYMENT_LINK,11420
sms_events,template_code,DUE_REMINDER,11256
sms_events,template_code,NOTICE,11166
sms_events,template_code,PTP_REMINDER,11158
sms_events,provider_id,VND0000012,3087
sms_events,provider_id,VND0000010,3068
sms_events,provider_id,VND0000015,3064
sms_events,provider_id,VND0000001,3013
sms_events,provider_id,VND0000008,3009
sms_events,provider_id,VND0000014,3003
sms_events,provider_id,VND0000011,3001
sms_events,provider_id,VND0000007,2992
sms_events,provider_id,VND0000006,2989
sms_events,provider_id,VND0000004,2988
sms_events,provider_id,VND0000005,2985
sms_events,provider_id,VND0000013,2973
sms_events,provider_id,VND0000003,2971
sms_events,provider_id,VND0000002,2935
sms_events,provider_id,VND0000009,2922
sms_events,timezone_raw,Asia/Kolkata,45000
sms_events,event_at_hour_local,7,1941
sms_events,event_at_hour_local,12,1933
sms_events,event_at_hour_local,2,1925
sms_events,event_at_hour_local,21,1924
sms_events,event_at_hour_local,10,1921
sms_events,event_at_hour_local,3,1914
sms_events,event_at_hour_local,13,1912
sms_events,event_at_hour_local,22,1899
sms_events,event_at_hour_local,4,1895
sms_events,event_at_hour_local,14,1891
sms_events,event_at_hour_local,9,1881
sms_events,event_at_hour_local,11,1877
sms_events,event_at_hour_local,1,1871
sms_events,event_at_hour_local,19,1856
sms_events,event_at_hour_local,5,1855
sms_events,month,2026-07,6376
sms_events,month,2026-05,6362
sms_events,month,2026-03,6362
sms_events,month,2026-01,6359
sms_events,month,2026-04,6107
sms_events,month,2026-06,6015
sms_events,month,2026-02,5814
sms_events,month,2026-08,1605
field_visits,visit_type,FIRST_VISIT,6275
field_visits,visit_type,FOLLOWUP,6271
field_visits,visit_type,NOTICE,6262
field_visits,visit_type,AFTER_HOURS,6192
field_visits,outcome,WRONG_ADDRESS,4221
field_visits,outcome,CONTACTED,4205
field_visits,outcome,PTP,4200
field_visits,outcome,NOT_AVAILABLE,4190
field_visits,outcome,REFUSED,4104
field_visits,outcome,PAID,4080
field_visits,timezone_raw,Asia/Kolkata,25000
field_visits,event_at_hour_local,7,1101
field_visits,event_at_hour_local,19,1088
field_visits,event_at_hour_local,16,1075
field_visits,event_at_hour_local,20,1065
field_visits,event_at_hour_local,5,1063
field_visits,event_at_hour_local,17,1058
field_visits,event_at_hour_local,10,1057
field_visits,event_at_hour_local,11,1054
field_visits,event_at_hour_local,9,1050
field_visits,event_at_hour_local,6,1049
field_visits,event_at_hour_local,14,1048
field_visits,event_at_hour_local,12,1042
field_visits,event_at_hour_local,4,1041
field_visits,event_at_hour_local,0,1038
field_visits,event_at_hour_local,13,1037
field_visits,month,2026-03,3568
field_visits,month,2026-07,3558
field_visits,month,2026-05,3539
field_visits,month,2026-01,3457
field_visits,month,2026-04,3456
field_visits,month,2026-06,3354
field_visits,month,2026-02,3197
field_visits,month,2026-08,871
promises_to_pay,status,BROKEN,4553
promises_to_pay,status,CANCELLED,4543
promises_to_pay,status,KEPT,4489
promises_to_pay,status,OPEN,4415
promises_to_pay,source,CALL,4571
promises_to_pay,source,FIELD,4546
promises_to_pay,source,SMS,4449
promises_to_pay,source,WHATSAPP,4434
promises_to_pay,timezone_raw,Asia/Kolkata,18000
promises_to_pay,event_at_hour_local,20,814
promises_to_pay,event_at_hour_local,14,811
promises_to_pay,event_at_hour_local,21,792
promises_to_pay,event_at_hour_local,2,791
promises_to_pay,event_at_hour_local,16,784
promises_to_pay,event_at_hour_local,3,766
promises_to_pay,event_at_hour_local,15,757
promises_to_pay,event_at_hour_local,17,756
promises_to_pay,event_at_hour_local,11,755
promises_to_pay,event_at_hour_local,8,752
promises_to_pay,event_at_hour_local,6,747
promises_to_pay,event_at_hour_local,0,747
promises_to_pay,event_at_hour_local,22,745
promises_to_pay,event_at_hour_local,10,738
promises_to_pay,event_at_hour_local,18,736
promises_to_pay,month,2026-07,2626
promises_to_pay,month,2026-01,2522
promises_to_pay,month,2026-03,2509
promises_to_pay,month,2026-05,2507
promises_to_pay,month,2026-04,2492
promises_to_pay,month,2026-06,2439
promises_to_pay,month,2026-02,2220
promises_to_pay,month,2026-08,685
payments,payment_status,SUCCESS,17880
payments,payment_status,FAILED,3744
payments,payment_status,PENDING,2592
payments,payment_status,REVERSED,1284
payments,payment_method,CARD,5227
payments,payment_method,NACH,5158
payments,payment_method,NETBANKING,5059
payments,payment_method,UPI,5052
payments,payment_method,CASH,5004
payments,provider_id,VND0000007,1773
payments,provider_id,VND0000012,1748
payments,provider_id,VND0000002,1731
payments,provider_id,VND0000004,1729
payments,provider_id,VND0000008,1727
payments,provider_id,VND0000011,1725
payments,provider_id,VND0000001,1721
payments,provider_id,VND0000006,1697
payments,provider_id,VND0000003,1693
payments,provider_id,VND0000013,1686
payments,provider_id,VND0000014,1686
payments,provider_id,VND0000009,1685
payments,provider_id,VND0000015,1646
payments,provider_id,VND0000010,1636
payments,provider_id,VND0000005,1617
payments,timezone_raw,Asia/Kolkata,25500
payments,event_at_hour_local,23,1153
payments,event_at_hour_local,21,1128
payments,event_at_hour_local,20,1099
payments,event_at_hour_local,2,1096
payments,event_at_hour_local,0,1093
payments,event_at_hour_local,12,1085
payments,event_at_hour_local,17,1077
payments,event_at_hour_local,22,1074
payments,event_at_hour_local,19,1074
payments,event_at_hour_local,4,1068
payments,event_at_hour_local,9,1067
payments,event_at_hour_local,10,1064
payments,event_at_hour_local,5,1063
payments,event_at_hour_local,11,1058
payments,event_at_hour_local,14,1055
payments,month,2026-03,3650
payments,month,2026-01,3603
payments,month,2026-05,3558
payments,month,2026-07,3546
payments,month,2026-04,3540
payments,month,2026-06,3423
payments,month,2026-02,3238
payments,month,2026-08,942
vendor_telephony,vendor_id,VND0000001,1
vendor_telephony,vendor_id,VND0000002,1
vendor_telephony,vendor_id,VND0000003,1
vendor_telephony,vendor_id,VND0000004,1
vendor_telephony,vendor_id,VND0000005,1
vendor_telephony,vendor_id,VND0000006,1
vendor_telephony,vendor_id,VND0000007,1
vendor_telephony,vendor_id,VND0000008,1
vendor_telephony,vendor_id,VND0000009,1
vendor_telephony,vendor_id,VND0000010,1
vendor_telephony,vendor_id,VND0000011,1
vendor_telephony,vendor_id,VND0000012,1
vendor_telephony,vendor_id,VND0000013,1
vendor_telephony,vendor_id,VND0000014,1
vendor_telephony,vendor_id,VND0000015,1
vendor_telephony,vendor_name,Airtel,5
vendor_telephony,vendor_name,Twilio,3
vendor_telephony,vendor_name,Knowlarity,3
vendor_telephony,vendor_name,Exotel,2
vendor_telephony,vendor_name,TataTele,2
vendor_telephony,vendor_account_id,VAC342762,1
vendor_telephony,vendor_account_id,VAC456766,1
vendor_telephony,vendor_account_id,VAC074211,1
vendor_telephony,vendor_account_id,VAC321507,1
vendor_telephony,vendor_account_id,VAC976733,1
vendor_telephony,vendor_account_id,VAC544470,1
vendor_telephony,vendor_account_id,VAC997592,1
vendor_telephony,vendor_account_id,VAC496672,1
vendor_telephony,vendor_account_id,VAC382568,1
vendor_telephony,vendor_account_id,VAC172916,1
vendor_telephony,vendor_account_id,VAC461665,1
vendor_telephony,vendor_account_id,VAC583104,1
vendor_telephony,vendor_account_id,VAC138790,1
vendor_telephony,vendor_account_id,VAC547425,1
vendor_telephony,vendor_account_id,VAC225367,1
vendor_telephony,timezone,UTC,8
vendor_telephony,timezone,Asia/Kolkata,7
vendor_telephony,status,INACTIVE,9
vendor_telephony,status,ACTIVE,6
vendor_telephony,schema_version,v1,7
vendor_telephony,schema_version,v3,6
vendor_telephony,schema_version,v2,2
complaints,complaint_type,AGENT_BEHAVIOUR,1202
complaints,complaint_type,DISPUTE,1155
complaints,complaint_type,PRIVACY,1155
complaints,complaint_type,DND,1152
complaints,complaint_type,HARASSMENT,1126
complaints,complaint_type,PAYMENT,1112
complaints,complaint_type,WRONG_CONTACT,1098
complaints,severity,MEDIUM,2047
complaints,severity,HIGH,1997
complaints,severity,LOW,1988
complaints,severity,CRITICAL,1968
complaints,status,OPEN,2096
complaints,status,INVESTIGATING,2005
complaints,status,CLOSED,1964
complaints,status,RESOLVED,1935
complaints,source,FIELD,1647
complaints,source,EMAIL,1607
complaints,source,WHATSAPP,1589
complaints,source,SMS,1579
complaints,source,CALL,1578
complaints,timezone_raw,Asia/Kolkata,8000
complaints,event_at_hour_local,19,364
complaints,event_at_hour_local,16,359
complaints,event_at_hour_local,8,356
complaints,event_at_hour_local,15,352
complaints,event_at_hour_local,18,348
complaints,event_at_hour_local,17,347
complaints,event_at_hour_local,9,346
complaints,event_at_hour_local,3,340
complaints,event_at_hour_local,14,339
complaints,event_at_hour_local,7,338
complaints,event_at_hour_local,20,334
complaints,event_at_hour_local,13,330
complaints,event_at_hour_local,11,330
complaints,event_at_hour_local,22,329
complaints,event_at_hour_local,1,327
complaints,month,2026-03,1179
complaints,month,2026-01,1133
complaints,month,2026-05,1105
complaints,month,2026-04,1101
complaints,month,2026-06,1083
complaints,month,2026-07,1075
complaints,month,2026-02,1034
complaints,month,2026-08,290
account_status_history,status,PAID,8650
account_status_history,status,CLOSED,8614
account_status_history,status,DELINQUENT,8612
account_status_history,status,NPA,8612
account_status_history,status,WRITEOFF,8583
account_status_history,status,ACTIVE,8518
account_status_history,status,PTP,8411
account_status_history,source,CORE,12079
account_status_history,source,BATCH,12073
account_status_history,source,CALL,12028
account_status_history,source,FIELD,11911
account_status_history,source,PAYMENT,11909
account_status_history,timezone_raw,Asia/Kolkata,60000
account_status_history,event_at_hour_local,21,2597
account_status_history,event_at_hour_local,22,2562
account_status_history,event_at_hour_local,19,2561
account_status_history,event_at_hour_local,15,2547
account_status_history,event_at_hour_local,4,2528
account_status_history,event_at_hour_local,16,2525
account_status_history,event_at_hour_local,17,2525
account_status_history,event_at_hour_local,14,2521
account_status_history,event_at_hour_local,0,2515
account_status_history,event_at_hour_local,10,2513
account_status_history,event_at_hour_local,9,2512
account_status_history,event_at_hour_local,23,2505
account_status_history,event_at_hour_local,5,2504
account_status_history,event_at_hour_local,6,2502
account_status_history,event_at_hour_local,18,2499
account_status_history,month,2026-03,8529
account_status_history,month,2026-05,8486
account_status_history,month,2026-07,8475
account_status_history,month,2026-01,8430
account_status_history,month,2026-06,8241
account_status_history,month,2026-04,8117
account_status_history,month,2026-02,7592
account_status_history,month,2026-08,2130
